index,u,v
18,0.524219,0.442974
19,0.523438,0.437500
20,0.520312,0.425791
21,0.518750,0.417339
32,0.481986,0.321216
33,0.481971,0.316372
34,0.477164,0.308215
35,0.475056,0.300973
36,0.475335,0.292663
37,0.473946,0.284913
38,0.472627,0.277214
39,0.471101,0.269616
40,0.469717,0.262000
41,0.468596,0.254439
42,0.466875,0.247045
43,0.465139,0.239992
44,0.463217,0.233410
45,0.460778,0.225220
46,0.458846,0.219200
47,0.455966,0.212464
48,0.453992,0.205990
49,0.451894,0.199983
50,0.449198,0.194041
51,0.446640,0.188440
52,0.443360,0.183041
53,0.439029,0.177112
54,0.434461,0.173522
55,0.426292,0.169607
56,0.418234,0.167266
57,0.409761,0.166703
58,0.401262,0.167395
59,0.392798,0.170053
60,0.385821,0.173399
61,0.379936,0.178177
62,0.373849,0.184145
63,0.369649,0.189114
64,0.365160,0.194652
65,0.360434,0.200459
66,0.355788,0.206558
67,0.351487,0.212556
68,0.347702,0.218067
69,0.343813,0.226361
70,0.340041,0.232669
71,0.336424,0.239483
72,0.333333,0.246687
73,0.329775,0.253805
74,0.327163,0.261164
75,0.323518,0.268352
76,0.320097,0.276233
77,0.316630,0.283716
78,0.313192,0.291612
79,0.310571,0.297870
80,0.306186,0.304324
81,0.301761,0.311020
89,0.241408,0.375798
90,0.239931,0.379369
91,0.237031,0.385945
92,0.230540,0.399560
93,0.226795,0.407472
94,0.222849,0.416017
95,0.219322,0.424393
96,0.216000,0.429975
142,0.193514,0.431273
143,0.194998,0.428947
144,0.196945,0.421840
145,0.199276,0.414525
146,0.202045,0.406555
147,0.204707,0.399072
148,0.207960,0.391578
149,0.211462,0.384212
150,0.215051,0.376485
151,0.218948,0.369056
152,0.222576,0.361974
153,0.228028,0.352736
154,0.231912,0.346337
155,0.236458,0.339040
156,0.241470,0.331776
157,0.246465,0.324414
158,0.251534,0.317473
159,0.256571,0.310735
160,0.261978,0.303790
161,0.266993,0.297888
162,0.273033,0.291016
163,0.280060,0.284094
164,0.285198,0.279191
165,0.290628,0.274090
166,0.295156,0.269248
167,0.297633,0.266430
173,0.343099,0.237576
174,0.348989,0.229396
175,0.354076,0.220177
176,0.358206,0.214314
177,0.362159,0.208287
178,0.367434,0.200646
179,0.372072,0.194363
180,0.376300,0.188842
181,0.386266,0.184429
182,0.392973,0.178133
183,0.395813,0.175004
195,0.319922,0.233188
196,0.315531,0.238194
197,0.309742,0.243976
198,0.303223,0.250096
199,0.296833,0.256086
200,0.289969,0.262498
201,0.283671,0.268685
202,0.278035,0.274293
203,0.267537,0.285194
204,0.264687,0.288445
205,0.259314,0.294734
206,0.253533,0.301585
207,0.247860,0.308444
208,0.242504,0.315536
209,0.237123,0.322930
210,0.232190,0.330098
211,0.227256,0.337439
212,0.223037,0.343995
213,0.217922,0.352059
214,0.213379,0.360715
215,0.210163,0.367199
216,0.206272,0.375181
217,0.202811,0.383144
218,0.198957,0.390679
219,0.196086,0.399190
220,0.192425,0.406037
221,0.189393,0.413879
222,0.186455,0.421704
223,0.183742,0.429644
224,0.180920,0.438008
225,0.177927,0.448204
226,0.176588,0.452652
227,0.175023,0.456660
264,0.265621,0.739521
265,0.270071,0.740055
266,0.276933,0.740239
267,0.284343,0.740150
268,0.290668,0.739566
269,0.296957,0.743720
270,0.301864,0.751560
271,0.305477,0.756250
276,0.367961,0.790625
277,0.372487,0.795210
278,0.377391,0.800000
284,0.371769,0.794151
285,0.367498,0.790190
286,0.365977,0.789994
287,0.364063,0.798438
386,0.366315,0.786418
387,0.368149,0.787577
388,0.375000,0.796875
391,0.328322,0.677452
392,0.324191,0.671931
393,0.320323,0.665971
394,0.316135,0.659866
395,0.312308,0.653329
396,0.308431,0.647445
397,0.304592,0.641000
398,0.300457,0.634988
399,0.296706,0.628537
400,0.293230,0.622085
401,0.290047,0.615239
402,0.287171,0.608011
403,0.284682,0.600937
404,0.282494,0.594066
405,0.279700,0.587511
406,0.277424,0.580154
407,0.278384,0.572174
408,0.272313,0.566416
409,0.269736,0.559672
410,0.266680,0.553297
411,0.263763,0.546088
412,0.256409,0.540655
413,0.253399,0.533805
414,0.249843,0.526920
415,0.245383,0.517618
416,0.242858,0.508574
417,0.242264,0.498989
418,0.242534,0.490396
419,0.243324,0.482858
420,0.244064,0.475026
421,0.244943,0.468127
422,0.273016,0.464620
423,0.277252,0.457249
424,0.281245,0.450742
425,0.285037,0.444871
426,0.289062,0.439063
427,0.292689,0.432256
428,0.296291,0.426203
429,0.300026,0.419464
430,0.303689,0.412800
431,0.307244,0.406540
432,0.310498,0.400185
433,0.313788,0.393350
434,0.317068,0.386465
435,0.320010,0.380356
436,0.322093,0.375786
437,0.326009,0.366223
438,0.328368,0.360352
439,0.331056,0.353441
440,0.333595,0.346752
441,0.336022,0.339754
442,0.338353,0.333218
443,0.340538,0.326568
444,0.341982,0.320140
445,0.343972,0.310321
446,0.345075,0.305941
447,0.346390,0.299804
448,0.347488,0.293459
449,0.348586,0.287024
450,0.349845,0.281874
451,0.351330,0.271383
452,0.351887,0.267143
453,0.354132,0.256352
454,0.355284,0.252851
455,0.356765,0.245065
456,0.358291,0.238413
457,0.360189,0.231612
458,0.363130,0.225304
459,0.367013,0.218287
