index,u,v
0,0.728037,0.198695
112,0.308408,0.333999
113,0.304018,0.325928
114,0.299801,0.317732
115,0.295688,0.309271
116,0.291784,0.300960
117,0.287967,0.292202
118,0.284907,0.283847
119,0.281820,0.275158
120,0.278581,0.265339
121,0.276005,0.256913
122,0.273915,0.248480
123,0.271509,0.239619
124,0.269895,0.231133
125,0.267965,0.222123
126,0.266463,0.214043
127,0.265227,0.205322
128,0.264207,0.196744
129,0.263164,0.188886
130,0.262356,0.181618
275,0.528044,0.470027
276,0.532875,0.470353
277,0.538263,0.469740
278,0.533503,0.466969
279,0.530848,0.468529
280,0.534409,0.468554
281,0.535283,0.467439
282,0.528849,0.468648
283,0.520824,0.468422
284,0.512833,0.468570
285,0.510993,0.469480
297,0.396088,0.437500
387,0.510938,0.464062
388,0.509923,0.464619
389,0.508364,0.458277
390,0.502453,0.458546
391,0.440101,0.370266
392,0.435491,0.364097
393,0.431141,0.357596
394,0.426544,0.350836
395,0.421750,0.344078
396,0.417106,0.337393
397,0.412069,0.330412
398,0.408509,0.323676
399,0.403880,0.316469
400,0.400489,0.308475
401,0.397213,0.301185
402,0.394057,0.293203
403,0.391191,0.284651
404,0.389174,0.277124
405,0.386487,0.268977
406,0.384234,0.259605
407,0.381703,0.252350
408,0.379584,0.244201
409,0.377889,0.235676
410,0.376411,0.229176
411,0.374253,0.219450
412,0.377642,0.203706
413,0.374410,0.198119
414,0.371877,0.191109
415,0.369436,0.182421
417,0.366605,0.161114
418,0.366016,0.155587
419,0.366687,0.147207
420,0.368011,0.138631
421,0.370363,0.130465
422,0.372361,0.126949
431,0.504997,0.126809
432,0.505202,0.125518
442,0.621097,0.370312
502,0.506747,0.125508
503,0.506250,0.126555
504,0.504903,0.131895
505,0.503725,0.138160
506,0.484674,0.128172
507,0.486412,0.133150
508,0.489379,0.142467
509,0.491319,0.149323
510,0.494005,0.159658
511,0.494932,0.166953
512,0.494609,0.176829
513,0.494141,0.186351
514,0.493082,0.194020
515,0.492188,0.206250
516,0.487180,0.211105
517,0.486151,0.216436
518,0.483838,0.223035
519,0.481032,0.229963
520,0.477800,0.237003
521,0.474919,0.244573
522,0.472810,0.251115
523,0.470576,0.258454
524,0.469408,0.265671
525,0.467446,0.273906
526,0.465511,0.281162
527,0.463914,0.287770
528,0.462465,0.295348
529,0.460984,0.301887
530,0.460403,0.309703
531,0.459122,0.316753
532,0.458300,0.323304
533,0.457228,0.330150
534,0.456832,0.337137
535,0.456018,0.342892
