index,x,y,z,xn,yn,zn,error
113,-20.159465,-13.495092,10.394955,-0.738737,-0.527275,0.419820,38.321296
114,-20.708451,-12.710562,10.322636,-0.756860,-0.466995,0.457251,36.255039
115,-21.287597,-11.875282,10.262321,-0.771037,-0.439277,0.461017,27.643210
116,-21.860461,-11.017130,10.172072,-0.782433,-0.416507,0.462947,30.344347
117,-22.280303,-10.154118,10.026824,-0.792111,-0.394758,0.465539,26.003327
118,-22.763048,-9.342407,9.863481,-0.800142,-0.363326,0.477249,33.625701
119,-23.246715,-8.523083,9.700417,-0.809147,-0.343574,0.476694,26.851669
120,-23.718434,-7.630102,9.515169,-0.847059,-0.352862,0.397467,18.390436
121,-24.187121,-6.723280,9.325330,-0.879647,-0.388444,0.274466,29.808633
122,-24.536141,-5.885938,9.077194,-0.921815,-0.344508,0.177683,30.101316
123,-24.916292,-4.940094,8.847739,-0.931300,-0.308889,0.193049,26.940817
124,-25.180454,-4.064049,8.619084,-0.941148,-0.261314,0.214374,20.921488
125,-25.630705,-3.143730,8.319290,-0.942186,-0.255895,0.216342,83.336232
126,-25.826146,-2.232462,8.157721,-0.945863,-0.213812,0.244189,28.374264
127,-26.275019,-1.375400,7.693356,-0.943004,-0.154247,0.294875,54.436058
128,-26.239727,-0.322554,7.418922,-0.946090,-0.119007,0.301248,88.828301
129,-26.913901,0.370135,7.127864,-0.943506,-0.119774,0.308951,34.292921
130,-26.326279,1.379581,7.017720,-0.938123,-0.048232,0.342928,35.099780
131,-26.505107,2.863220,6.794292,-0.922701,-0.030331,0.384322,50.357729
132,-26.467981,3.496844,6.557549,-0.911107,0.010580,0.412034,7.956657
133,-26.504313,4.447982,6.421647,-0.894806,0.045715,0.444108,38.250397
134,-26.437438,5.448616,6.302692,-0.892457,0.065391,0.446368,32.558798
135,-26.227461,6.787910,6.236522,-0.870856,0.116209,0.477604,60.354396
136,-26.052974,7.475847,6.205351,-0.869656,0.129551,0.476356,45.699224
137,-25.827104,8.477110,6.187868,-0.861268,0.146587,0.486548,42.739152
138,-25.635314,9.376709,6.277262,-0.859961,0.168182,0.481853,23.272618
139,-25.386092,10.308196,6.415937,-0.854225,0.179623,0.487889,21.152036
140,-26.259447,11.242642,6.693020,-0.855014,0.196220,0.480051,90.273067
141,-24.659554,12.325002,6.816918,-0.841840,0.223547,0.491256,51.930996
142,-24.314917,13.128177,7.007296,-0.840985,0.233923,0.487877,26.182318
143,-23.977693,13.964940,7.225717,-0.850384,0.268488,0.452506,28.966199
144,-23.632678,14.870234,7.457314,-0.848673,0.288199,0.443504,22.916387
145,-23.256406,15.757531,7.652077,-0.848264,0.310651,0.428887,22.515688
146,-22.835254,16.663622,7.829340,-0.845567,0.320544,0.426929,18.213495
147,-22.442001,17.525525,8.006664,-0.839426,0.350011,0.415761,19.023439
148,-21.992718,18.398050,8.145282,-0.834849,0.360401,0.416098,11.876674
149,-21.546682,19.259052,8.251687,-0.824811,0.387946,0.411320,19.564982
150,-21.089630,20.172015,8.298971,-0.828414,0.397558,0.394559,12.461879
151,-20.640338,21.054739,8.307022,-0.824803,0.417841,0.380932,13.658191
152,-20.224648,21.843293,8.273240,-0.819580,0.431932,0.376461,24.357761
153,-19.661352,22.935961,8.215304,-0.809260,0.460145,0.365193,25.935743
154,-19.255865,23.711779,8.115328,-0.803086,0.467799,0.369074,15.998621
155,-18.794658,24.559813,8.001700,-0.798061,0.487024,0.354833,18.529006
156,-18.301451,25.447211,7.851176,-0.791635,0.505359,0.343405,18.961436
157,-17.832113,26.319014,7.665893,-0.783896,0.523597,0.333696,19.225979
158,-17.382639,27.148640,7.458464,-0.778175,0.534424,0.329901,26.389531
159,-16.905245,27.990389,7.208556,-0.768402,0.550243,0.326790,21.253918
160,-16.431623,28.835308,6.912738,-0.757922,0.568176,0.320515,22.097372
161,-16.003925,29.608403,6.618360,-0.746404,0.586020,0.315375,30.169538
162,-15.443796,30.325642,6.278503,-0.739677,0.595946,0.312612,43.589084
163,-14.948668,31.286568,5.808067,-0.724820,0.614380,0.311727,36.609391
164,-14.487136,31.972595,5.450020,-0.694989,0.639711,0.328268,21.653100
165,-14.032305,32.672298,5.036313,-0.660894,0.665460,0.346962,21.461704
166,-13.480139,33.432620,4.541966,-0.656241,0.669708,0.347619,21.760541
167,-13.132703,33.976315,4.197786,-0.652709,0.673724,0.346508,59.740688
168,-12.501524,34.835608,3.540541,-0.715845,0.669704,0.197641,22.837311
169,-12.037631,35.531839,2.998928,-0.751149,0.641271,0.156678,22.601778
170,-11.585561,36.209433,2.447025,-0.787623,0.606826,0.106825,26.633662
171,-11.112225,36.936406,1.834899,-0.800584,0.595930,0.062710,26.845551
172,-10.511841,37.613380,1.403348,0.811847,-0.579929,-0.067725,25.021297
173,-10.148233,38.169414,0.389845,0.820359,-0.563783,0.095707,37.323281
174,-9.527784,39.050420,0.243520,-0.806886,0.583911,-0.089348,69.789763
175,-9.836997,39.579325,0.464368,-0.806886,0.583911,-0.089348,51.555492
176,-8.355169,40.718312,0.245784,0.766988,-0.637851,0.069817,35.000193
177,-7.991383,41.517718,0.182548,-0.757227,0.652154,-0.036086,49.787220
178,-7.276456,42.278029,0.275094,-0.704363,0.707119,-0.062091,46.077910
179,-6.612997,43.128645,0.545005,-0.664257,0.746983,0.027904,50.028673
180,-6.013543,43.722176,0.930316,-0.583506,0.807275,0.088470,51.325792
181,-5.432558,44.234111,1.646357,-0.550797,0.816608,0.172549,28.603191
182,-4.906702,44.492145,2.389267,-0.509052,0.827172,0.238017,22.898845
