index,u,v
0,0.850000,0.224219
56,0.540625,0.364063
110,0.377938,0.348671
111,0.371482,0.340904
112,0.364150,0.331324
113,0.357819,0.322312
114,0.351973,0.313319
115,0.345710,0.303247
116,0.339637,0.293121
117,0.335180,0.282545
118,0.330058,0.273032
119,0.325098,0.263365
120,0.320137,0.253258
121,0.315578,0.242249
122,0.311514,0.232740
123,0.307474,0.222062
124,0.304855,0.211884
125,0.301702,0.201339
126,0.298771,0.191191
127,0.296152,0.180909
128,0.296795,0.168749
129,0.296483,0.158239
130,0.295393,0.149584
131,0.294183,0.132465
132,0.294732,0.129700
133,0.294642,0.126848
253,0.378125,0.342187
254,0.383333,0.348441
255,0.382557,0.353384
256,0.387222,0.359088
257,0.389161,0.362769
258,0.390368,0.363817
270,0.457741,0.441442
271,0.466397,0.446875
272,0.465625,0.446875
273,0.464062,0.446090
274,0.466377,0.447429
276,0.574222,0.468750
277,0.578218,0.469525
280,0.574172,0.468684
281,0.573438,0.467969
285,0.518750,0.469608
286,0.516917,0.469566
287,0.509368,0.468023
288,0.500640,0.466027
289,0.491552,0.463635
290,0.481842,0.460873
291,0.471476,0.458224
292,0.463444,0.455018
293,0.454713,0.451729
294,0.445743,0.447776
295,0.436261,0.443736
296,0.427314,0.438836
297,0.419305,0.432932
298,0.413408,0.425426
299,0.406083,0.418958
300,0.399656,0.411784
301,0.393347,0.404835
302,0.386174,0.397565
303,0.379046,0.390398
304,0.372333,0.383012
305,0.367025,0.374523
306,0.361354,0.365773
307,0.356194,0.357677
308,0.350741,0.348538
309,0.346071,0.339555
310,0.341813,0.331009
311,0.337801,0.321384
312,0.332974,0.312081
313,0.328773,0.302744
314,0.326011,0.294602
315,0.320290,0.282545
316,0.316198,0.273331
317,0.312443,0.264019
318,0.308030,0.254680
319,0.303344,0.244944
320,0.298203,0.234961
321,0.293934,0.225992
322,0.290497,0.215141
323,0.286666,0.204926
324,0.283012,0.194135
325,0.279215,0.184142
326,0.275569,0.173778
327,0.272198,0.163129
328,0.269087,0.152825
329,0.266438,0.144236
330,0.263826,0.132251
331,0.261555,0.126635
332,0.260398,0.125994
382,0.478125,0.460938
383,0.487500,0.462500
384,0.496120,0.465644
390,0.517959,0.467983
393,0.387476,0.350026
394,0.384603,0.346890
395,0.380416,0.340212
396,0.375243,0.332980
397,0.370114,0.325074
398,0.365559,0.318192
399,0.361151,0.308939
400,0.356680,0.301564
401,0.352120,0.293725
402,0.347629,0.285499
403,0.343838,0.275933
404,0.340816,0.266670
405,0.338546,0.258942
406,0.334260,0.249665
407,0.330240,0.241462
408,0.326823,0.233348
409,0.326122,0.222263
410,0.327833,0.211937
411,0.325418,0.202161
412,0.324922,0.192765
413,0.323737,0.183520
414,0.322789,0.173659
415,0.322147,0.162028
416,0.321682,0.153886
417,0.321836,0.144457
418,0.322278,0.134829
419,0.322754,0.128863
420,0.276562,0.125756
437,0.701562,0.264858
438,0.707812,0.268750
523,0.336995,0.275016
532,0.373437,0.339062
533,0.376930,0.343740
534,0.381798,0.349476
535,0.386094,0.354439
536,0.389062,0.357812
645,0.573438,0.468750
646,0.573438,0.469503
648,0.580923,0.492434
649,0.581510,0.484143
651,0.579610,0.467942
652,0.588540,0.469363
653,0.596823,0.464966
654,0.603700,0.462130
655,0.609379,0.461740
657,0.620844,0.451339
658,0.622869,0.449399
659,0.624940,0.447123
660,0.627109,0.445865
661,0.627090,0.445218
671,0.602419,0.386299
672,0.600786,0.384262
673,0.601116,0.380491
674,0.596153,0.375107
675,0.594733,0.369305
676,0.593360,0.362825
677,0.591888,0.356484
678,0.590503,0.349519
679,0.588978,0.342938
680,0.587314,0.336514
681,0.585486,0.329160
682,0.583622,0.322822
683,0.582620,0.315390
684,0.580370,0.309078
685,0.577815,0.302940
686,0.575356,0.296824
687,0.572758,0.288659
688,0.571361,0.280948
689,0.570115,0.274449
690,0.567824,0.266958
691,0.565127,0.260126
692,0.561806,0.253452
693,0.560065,0.245519
694,0.558438,0.237508
695,0.556284,0.230935
696,0.554357,0.222851
697,0.552283,0.216287
698,0.553209,0.204596
699,0.546849,0.205433
700,0.549504,0.187815
701,0.549101,0.180587
702,0.549007,0.172663
703,0.549872,0.164033
704,0.551354,0.155831
705,0.553355,0.147713
706,0.556990,0.140086
707,0.561516,0.132574
708,0.564327,0.126753
709,0.748899,0.230964
710,0.750181,0.231305
711,0.750973,0.202715
789,0.720208,0.126965
790,0.720027,0.128388
791,0.686058,0.128825
792,0.689093,0.134499
793,0.691315,0.141460
794,0.693071,0.150781
795,0.710587,0.163747
796,0.708992,0.171656
797,0.696152,0.176404
798,0.703825,0.188256
799,0.699247,0.196827
800,0.694863,0.203256
801,0.693009,0.212961
802,0.689464,0.219101
803,0.685947,0.227444
804,0.682652,0.234672
805,0.679855,0.242574
806,0.676183,0.250337
807,0.672867,0.257433
808,0.668837,0.264936
809,0.664611,0.272137
810,0.661266,0.278861
811,0.659539,0.286243
812,0.656544,0.295822
813,0.651778,0.302658
814,0.648228,0.308555
815,0.644450,0.315139
816,0.641597,0.322984
817,0.638480,0.329241
818,0.634982,0.337144
819,0.631685,0.343361
820,0.627942,0.349787
821,0.624105,0.355952
822,0.620604,0.362224
823,0.617175,0.368329
824,0.613683,0.374265
825,0.610586,0.380141
826,0.607648,0.384114
827,0.602350,0.386638
848,0.606250,0.510938
849,0.578150,0.480950
850,0.579437,0.468170
851,0.576350,0.467182
852,0.577514,0.468697
853,0.581702,0.470378
854,0.588823,0.470452
855,0.594292,0.470048
856,0.604688,0.465625
857,0.610938,0.462500
859,0.542188,0.468750
861,0.639869,0.450672
875,0.713400,0.381656
876,0.720727,0.376580
877,0.721136,0.366446
878,0.724250,0.360154
883,0.742455,0.321541
885,0.749276,0.305370
891,0.768267,0.256977
892,0.771875,0.248438
893,0.775000,0.237500
894,0.776853,0.231772
895,0.779863,0.223519
896,0.789551,0.211963
897,0.785736,0.205457
898,0.788112,0.196290
900,0.790260,0.179918
901,0.788284,0.172691
902,0.789223,0.168270
903,0.790763,0.162655
904,0.792944,0.156859
905,0.792367,0.154362
951,0.623933,0.448964
952,0.622708,0.450000
953,0.617959,0.461648
955,0.606250,0.465625
956,0.593750,0.477341
957,0.585938,0.468750
958,0.582525,0.468292
959,0.575986,0.468686
960,0.575291,0.468883
961,0.582018,0.469392
962,0.586624,0.472791
963,0.594140,0.479871
964,0.609899,0.499560
965,0.607482,0.490471
966,0.604709,0.481718
967,0.593343,0.478734
968,0.604298,0.465542
969,0.607096,0.462034
970,0.613732,0.461750
971,0.617188,0.460938
972,0.639820,0.450000
973,0.639868,0.450758
974,0.640625,0.450000
1065,0.570312,0.364063
1105,0.825412,0.128119
1106,0.825315,0.130769
1107,0.824660,0.134908
1108,0.810870,0.135627
1109,0.814877,0.147542
1110,0.810540,0.155551
1111,0.816825,0.166093
1112,0.812086,0.173785
1113,0.816838,0.183485
1114,0.813706,0.192985
1115,0.817269,0.201370
1116,0.817695,0.209941
1117,0.815846,0.218502
1118,0.815164,0.224366
1119,0.814409,0.230569
1155,0.639621,0.467656
1156,0.621099,0.465170
1157,0.618699,0.465726
1158,0.604646,0.467681
1159,0.601868,0.467940
1160,0.598069,0.466649
1161,0.603760,0.468130
1162,0.606423,0.479367
1163,0.606420,0.489424
1164,0.606928,0.500193
1165,0.610338,0.512964
1166,0.609746,0.504218
1167,0.607930,0.495792
1168,0.604133,0.487049
1169,0.596704,0.477945
1170,0.589783,0.473681
1171,0.584485,0.471227
1172,0.584531,0.467095
1173,0.590124,0.467493
1174,0.595157,0.467099
1175,0.604293,0.467971
1176,0.619538,0.465625
1177,0.621102,0.465625
1178,0.637224,0.467761
1179,0.639903,0.467187
1300,0.468136,0.128555
1301,0.469012,0.133056
1302,0.470758,0.142969
1303,0.472959,0.157432
1304,0.474796,0.170150
1305,0.477191,0.184602
1306,0.479089,0.198268
1307,0.480839,0.211820
1308,0.483397,0.223473
1309,0.485700,0.232822
1310,0.489133,0.241616
1311,0.490998,0.269677
1312,0.491479,0.277050
1313,0.492547,0.285132
1314,0.494453,0.300945
1315,0.495975,0.312047
1316,0.497089,0.323214
1317,0.498841,0.329939
1318,0.499550,0.333353
1319,0.500008,0.362382
1320,0.502711,0.365209
1321,0.505819,0.370494
1322,0.505522,0.397506
1323,0.507840,0.397271
1324,0.508444,0.402388
1325,0.509517,0.409403
1326,0.510795,0.416823
1327,0.512006,0.423386
1328,0.513779,0.430587
1329,0.514517,0.433340
1330,0.419251,0.413524
1331,0.421358,0.417728
1332,0.421326,0.418259
1333,0.430506,0.429652
1335,0.458286,0.469859
1344,0.513945,0.469245
1347,0.594506,0.473438
1349,0.576562,0.478125
1350,0.578779,0.482512
1351,0.588273,0.477961
1352,0.586011,0.467155
1353,0.584060,0.467720
1354,0.583265,0.470739
1355,0.575181,0.473774
1356,0.575979,0.477562
1357,0.583128,0.481347
1358,0.593549,0.478805
1359,0.602148,0.475705
1360,0.611072,0.472645
1361,0.618340,0.470177
1362,0.626225,0.468173
1363,0.635356,0.465642
1364,0.644148,0.464698
1365,0.653278,0.463320
1366,0.655227,0.448327
1367,0.667108,0.447364
1368,0.674134,0.443823
1369,0.679830,0.439993
1370,0.687769,0.434985
1371,0.694591,0.430450
1372,0.709900,0.444743
1373,0.688414,0.405084
1374,0.732738,0.439983
1375,0.729455,0.471280
1376,0.737006,0.480253
1377,0.741379,0.490327
1378,0.747198,0.499660
1379,0.753580,0.511108
