index,u,v
20,0.560937,0.425000
21,0.561875,0.423751
23,0.559788,0.423404
24,0.556610,0.417561
25,0.556287,0.411029
26,0.555733,0.405146
27,0.552922,0.396425
28,0.554342,0.392548
29,0.552673,0.385456
30,0.552171,0.379442
31,0.551830,0.373939
32,0.551322,0.367012
33,0.550895,0.360605
34,0.550891,0.353935
35,0.547493,0.347290
36,0.546178,0.340136
37,0.545034,0.333207
38,0.543735,0.326187
39,0.542146,0.319000
40,0.540688,0.311849
41,0.539181,0.304522
42,0.537574,0.297387
43,0.535816,0.290284
44,0.534294,0.283224
45,0.532145,0.274976
46,0.530533,0.268725
47,0.528597,0.261129
48,0.526665,0.254104
49,0.524821,0.247807
50,0.523051,0.241126
51,0.521362,0.232536
52,0.519131,0.224097
53,0.517945,0.218113
54,0.517047,0.212378
55,0.519045,0.206470
56,0.521475,0.202335
57,0.525300,0.199845
58,0.528895,0.199860
59,0.531250,0.200000
74,0.605360,0.302517
75,0.608932,0.308382
76,0.613136,0.315732
77,0.616628,0.324277
78,0.620203,0.330348
79,0.624411,0.336463
80,0.628849,0.343439
81,0.633008,0.350914
82,0.636978,0.357988
83,0.640516,0.364539
84,0.645787,0.374413
135,0.602483,0.509182
136,0.601396,0.502109
137,0.600476,0.493492
138,0.600537,0.484202
139,0.601597,0.474652
140,0.601842,0.466404
141,0.604087,0.451304
142,0.604607,0.446635
143,0.605489,0.438767
144,0.606744,0.429820
145,0.607444,0.421473
146,0.607764,0.412940
147,0.608093,0.404858
148,0.608022,0.397196
149,0.607594,0.389241
150,0.606477,0.381071
151,0.605205,0.372998
152,0.603792,0.365996
153,0.601487,0.356492
154,0.599494,0.349155
155,0.597092,0.341572
156,0.594399,0.334126
157,0.591440,0.326585
158,0.588265,0.318956
159,0.584862,0.311959
160,0.580950,0.304688
161,0.577131,0.297977
162,0.573076,0.291321
163,0.567065,0.283619
164,0.562871,0.278034
165,0.558244,0.272357
166,0.552581,0.266152
167,0.547228,0.260172
168,0.541507,0.254448
169,0.535692,0.248862
170,0.530112,0.243167
171,0.523405,0.236704
172,0.518826,0.232104
173,0.514302,0.225946
174,0.509328,0.219667
175,0.506613,0.213039
176,0.504467,0.207448
177,0.503575,0.201354
178,0.503129,0.198593
179,0.503890,0.191095
180,0.506553,0.188071
181,0.511194,0.185982
182,0.516101,0.186020
183,0.522152,0.187883
184,0.528299,0.190811
185,0.535178,0.195700
186,0.540437,0.200281
187,0.547390,0.207973
188,0.551442,0.213914
189,0.555747,0.220117
190,0.559900,0.225825
191,0.563110,0.231849
192,0.566242,0.237741
193,0.568910,0.242616
194,0.571430,0.246589
195,0.574971,0.252748
196,0.577759,0.257252
197,0.580833,0.262238
198,0.584277,0.267758
199,0.587788,0.272878
200,0.591287,0.278532
201,0.594835,0.284154
202,0.598899,0.289543
203,0.603345,0.296503
204,0.607415,0.302901
205,0.611377,0.309454
206,0.615588,0.315970
207,0.619775,0.322898
208,0.623830,0.330221
209,0.628360,0.338227
210,0.632082,0.345506
211,0.636285,0.353489
212,0.640074,0.360715
213,0.642797,0.365092
214,0.649131,0.378321
215,0.652639,0.385550
216,0.656558,0.393623
217,0.660611,0.401892
218,0.664679,0.410000
219,0.669148,0.418562
220,0.672648,0.426328
221,0.676652,0.434886
222,0.680631,0.442844
223,0.683987,0.450711
224,0.687299,0.458692
225,0.690697,0.468008
226,0.693216,0.475963
227,0.695422,0.484666
228,0.697132,0.493598
229,0.698368,0.502424
230,0.699122,0.511546
231,0.699625,0.520543
232,0.699570,0.529656
233,0.699009,0.538049
234,0.698927,0.546352
235,0.696520,0.557569
236,0.695005,0.565217
237,0.693585,0.573867
238,0.691832,0.583077
239,0.689531,0.591754
240,0.689716,0.601290
241,0.684333,0.609253
242,0.681743,0.618084
243,0.680503,0.627474
244,0.677123,0.635667
245,0.673477,0.644298
246,0.669734,0.652483
247,0.665523,0.660944
248,0.661012,0.668970
249,0.656147,0.677090
250,0.651106,0.684778
251,0.646236,0.692354
252,0.640929,0.699733
253,0.635288,0.707021
254,0.629877,0.713972
255,0.624406,0.721999
256,0.618646,0.727843
257,0.613898,0.734933
258,0.610511,0.740798
259,0.606801,0.747269
260,0.603709,0.752685
274,0.519548,0.793781
275,0.514835,0.823438
276,0.511716,0.823438
286,0.510938,0.825000
295,0.505438,0.796961
296,0.505511,0.796127
297,0.507217,0.793229
298,0.508710,0.790509
299,0.509272,0.784530
300,0.510113,0.780072
301,0.511031,0.775775
302,0.512122,0.770490
303,0.512825,0.765219
304,0.513890,0.759388
305,0.515091,0.752599
306,0.516156,0.745795
307,0.516694,0.739337
308,0.517641,0.731817
309,0.518759,0.724714
310,0.520925,0.719074
311,0.520874,0.710160
312,0.521960,0.702006
313,0.523152,0.694168
314,0.524546,0.687024
315,0.526729,0.676906
316,0.528450,0.668769
317,0.530723,0.660542
318,0.532843,0.652181
319,0.535052,0.643063
320,0.537102,0.633830
321,0.538952,0.625722
322,0.541167,0.616496
323,0.543165,0.607319
325,0.545300,0.597570
328,0.549313,0.579143
329,0.554874,0.553665
330,0.557176,0.536468
331,0.555827,0.530867
332,0.552703,0.520514
333,0.548052,0.512354
334,0.541651,0.505020
335,0.534230,0.499675
336,0.525030,0.496897
337,0.514922,0.497079
338,0.505967,0.500105
339,0.499095,0.506905
340,0.490183,0.513468
341,0.487693,0.523450
342,0.485158,0.532248
343,0.482969,0.537574
344,0.485518,0.553140
345,0.485332,0.562545
346,0.485623,0.572080
347,0.486093,0.581796
348,0.486523,0.591716
349,0.487154,0.601445
350,0.487627,0.611498
351,0.488656,0.621280
352,0.488954,0.630422
353,0.489793,0.640151
354,0.491338,0.649631
355,0.491026,0.658397
356,0.491720,0.667437
357,0.491587,0.675905
358,0.491921,0.686214
359,0.491291,0.693297
360,0.491178,0.701514
361,0.491111,0.709704
362,0.490885,0.717335
363,0.489922,0.724753
364,0.489327,0.732096
365,0.488110,0.738312
366,0.487781,0.742951
367,0.488148,0.746932
368,0.385965,0.680066
369,0.492188,0.767188
370,0.486636,0.771689
371,0.484321,0.775689
372,0.482555,0.779613
373,0.481243,0.782507
374,0.480505,0.785326
375,0.479463,0.786645
376,0.476562,0.785184
377,0.388493,0.767285
378,0.388287,0.766211
379,0.393646,0.773973
380,0.395257,0.776228
381,0.392421,0.789132
382,0.393684,0.789802
383,0.398438,0.793750
385,0.442975,0.837500
387,0.446875,0.839063
390,0.465759,0.810700
391,0.372670,0.735949
392,0.367188,0.730512
393,0.360938,0.723437
394,0.360938,0.723437
418,0.429793,0.501858
419,0.430777,0.496062
420,0.430997,0.487645
421,0.430354,0.477772
422,0.428987,0.468748
423,0.428154,0.462886
424,0.423645,0.447735
425,0.421587,0.439836
426,0.419674,0.431031
427,0.417567,0.421839
428,0.416135,0.413108
429,0.414797,0.404472
430,0.413644,0.395665
431,0.412749,0.387320
432,0.412008,0.378515
433,0.411426,0.370246
434,0.411312,0.361936
435,0.411459,0.353803
436,0.412024,0.345652
437,0.412884,0.336333
438,0.414265,0.330296
439,0.416202,0.322765
440,0.418188,0.315613
441,0.420997,0.308221
442,0.423609,0.301559
443,0.426726,0.294998
444,0.430298,0.288428
445,0.434085,0.282351
446,0.438783,0.275324
447,0.442806,0.269756
448,0.447027,0.264318
449,0.451541,0.258894
450,0.456296,0.253273
451,0.461094,0.248130
452,0.465620,0.243335
453,0.470583,0.238345
454,0.476138,0.232849
455,0.479677,0.228223
456,0.483103,0.222251
457,0.485936,0.216554
458,0.491614,0.212219
459,0.492042,0.206371
460,0.491961,0.200891
461,0.490861,0.195063
462,0.489975,0.190215
463,0.487538,0.186754
464,0.479404,0.183638
465,0.472743,0.183624
466,0.464900,0.185372
467,0.456929,0.189068
468,0.450328,0.193622
469,0.445013,0.197740
470,0.438060,0.204706
471,0.434078,0.209595
472,0.429546,0.215086
473,0.425326,0.221422
474,0.421263,0.227603
475,0.417793,0.233599
476,0.415571,0.238030
477,0.413061,0.244275
478,0.411024,0.249039
479,0.409261,0.253992
480,0.407163,0.258956
481,0.405190,0.263858
482,0.403478,0.269250
483,0.401785,0.274942
484,0.399718,0.280137
485,0.396925,0.286903
486,0.394420,0.292982
487,0.391560,0.299149
488,0.388351,0.306102
489,0.384933,0.313121
490,0.381398,0.320183
491,0.377760,0.327496
492,0.374190,0.334735
493,0.371114,0.340898
494,0.366650,0.349892
495,0.362638,0.358066
496,0.359115,0.365504
497,0.355135,0.373616
498,0.350780,0.382086
499,0.346276,0.390645
500,0.341552,0.398870
501,0.336632,0.407021
502,0.331625,0.415324
503,0.326295,0.423760
504,0.321051,0.431966
505,0.315849,0.440125
506,0.310565,0.447609
507,0.305204,0.455823
508,0.299158,0.465489
509,0.295365,0.472874
510,0.290777,0.482561
511,0.288148,0.491354
512,0.285875,0.500655
513,0.284315,0.510270
514,0.283226,0.520250
515,0.283452,0.528721
516,0.284366,0.539493
517,0.284887,0.549498
518,0.286596,0.558078
519,0.288482,0.568202
520,0.291428,0.577209
521,0.293829,0.586469
522,0.296442,0.595961
523,0.299822,0.605909
524,0.303096,0.614987
525,0.306697,0.624135
526,0.310050,0.632863
527,0.313338,0.642529
528,0.317308,0.651568
529,0.321312,0.660060
530,0.325992,0.668891
531,0.330187,0.676588
532,0.334386,0.685443
533,0.338974,0.693281
534,0.343950,0.701218
535,0.349853,0.708091
536,0.354968,0.715347
537,0.360094,0.722109
538,0.365555,0.728979
550,0.385979,0.786744
551,0.381925,0.782054
552,0.377844,0.777246
553,0.373418,0.773427
554,0.368780,0.769139
555,0.363509,0.763583
556,0.358669,0.757156
557,0.352287,0.752948
558,0.348640,0.746164
559,0.342524,0.741808
560,0.336900,0.735668
561,0.334289,0.728283
562,0.328624,0.722570
563,0.324397,0.715202
564,0.320549,0.708694
565,0.299157,0.707258
566,0.297883,0.701358
567,0.297737,0.693148
568,0.295093,0.685540
569,0.291659,0.677615
570,0.288852,0.670258
571,0.285926,0.663585
573,0.281525,0.653546
574,0.277016,0.638673
575,0.274117,0.630739
576,0.272084,0.621818
577,0.270141,0.614059
578,0.268585,0.605164
579,0.266419,0.596899
580,0.264625,0.588335
581,0.262978,0.579442
582,0.260880,0.570974
583,0.259457,0.562156
584,0.257675,0.553229
585,0.255425,0.543842
586,0.253862,0.537009
587,0.252317,0.525195
588,0.251307,0.517229
589,0.249407,0.510029
590,0.239501,0.503182
591,0.234804,0.496447
592,0.230960,0.492658
593,0.227392,0.491256
