index,u,v
22,0.637371,0.422613
23,0.636086,0.419427
24,0.633882,0.412928
25,0.631301,0.406030
26,0.628655,0.399821
27,0.625212,0.392812
28,0.622097,0.386416
29,0.619100,0.380468
30,0.615849,0.374028
31,0.612652,0.366892
32,0.610429,0.359199
33,0.608121,0.352258
34,0.606172,0.344603
35,0.604288,0.340234
36,0.595903,0.329326
37,0.592500,0.323141
38,0.588750,0.316686
39,0.587470,0.313969
40,0.581550,0.298650
41,0.578208,0.293337
42,0.575015,0.286587
43,0.571511,0.279394
44,0.567806,0.272406
45,0.563562,0.264467
46,0.559720,0.257706
47,0.555707,0.250538
48,0.551544,0.243446
49,0.547705,0.236563
50,0.543535,0.229414
51,0.539424,0.222512
52,0.537019,0.217784
110,0.447352,0.732331
111,0.444331,0.726566
112,0.440714,0.719703
113,0.437838,0.713556
114,0.434572,0.705904
115,0.431010,0.698039
116,0.427527,0.690001
117,0.424386,0.680925
118,0.420693,0.672915
119,0.417065,0.665172
120,0.412741,0.656056
121,0.409093,0.647293
122,0.405268,0.637451
123,0.401190,0.628110
124,0.397907,0.618642
125,0.394905,0.608418
126,0.391516,0.598975
127,0.388219,0.588876
128,0.385284,0.578642
129,0.382838,0.568513
130,0.380214,0.560500
131,0.377740,0.544474
132,0.376625,0.537453
133,0.375807,0.527348
134,0.375535,0.516652
135,0.375830,0.506622
136,0.377819,0.496156
137,0.380121,0.485789
138,0.382665,0.475940
139,0.385818,0.466437
140,0.388997,0.458159
141,0.396626,0.443093
142,0.399181,0.437927
143,0.403342,0.429879
144,0.407820,0.420628
145,0.412168,0.411710
146,0.416559,0.402996
147,0.420601,0.394539
148,0.424784,0.385970
149,0.428575,0.377750
150,0.432012,0.369186
151,0.435066,0.360772
152,0.437105,0.354588
153,0.440637,0.342801
154,0.442216,0.336474
155,0.444067,0.329005
156,0.445865,0.321126
157,0.447255,0.313475
158,0.448317,0.306022
159,0.449015,0.299026
160,0.449469,0.291931
161,0.378173,0.326897
162,0.449542,0.281182
163,0.384499,0.310383
164,0.448690,0.266822
165,0.447822,0.261431
166,0.447014,0.256124
167,0.445771,0.250636
168,0.402890,0.268886
169,0.442814,0.240843
170,0.441233,0.236929
171,0.417091,0.241964
172,0.422310,0.234749
173,0.425794,0.227864
174,0.432456,0.218816
175,0.435679,0.212032
176,0.438560,0.205709
