index,u,v
16,0.215625,0.462500
22,0.259618,0.426055
23,0.261679,0.422696
24,0.265625,0.413985
25,0.267329,0.409489
26,0.270773,0.403855
27,0.274701,0.397601
28,0.277894,0.392132
29,0.286145,0.384638
30,0.288231,0.380579
31,0.295869,0.371107
32,0.300781,0.364636
33,0.305224,0.358720
34,0.309957,0.352275
35,0.314263,0.347056
36,0.318055,0.340930
37,0.321919,0.333682
38,0.326897,0.322204
39,0.329486,0.319113
55,0.411960,0.221666
56,0.414672,0.220220
58,0.426563,0.229687
59,0.426780,0.231501
60,0.427244,0.236295
61,0.426610,0.242824
62,0.425386,0.250450
63,0.425152,0.254245
64,0.422174,0.265458
65,0.421125,0.270676
66,0.419504,0.277911
67,0.417913,0.284557
68,0.416466,0.290811
69,0.414715,0.298291
70,0.412661,0.305791
71,0.411065,0.312545
72,0.409449,0.319312
73,0.407913,0.326202
74,0.406016,0.333101
75,0.404923,0.340084
76,0.403756,0.347174
77,0.402825,0.353642
78,0.399256,0.360656
79,0.398648,0.367162
80,0.398667,0.373219
81,0.398886,0.378716
82,0.398876,0.384503
83,0.398179,0.391947
84,0.398044,0.395534
85,0.396767,0.404252
86,0.396305,0.409491
87,0.395923,0.415214
88,0.396902,0.423363
89,0.397031,0.429294
90,0.396920,0.433644
91,0.398219,0.436913
92,0.395652,0.439395
93,0.394757,0.440939
110,0.498043,0.676460
111,0.500552,0.671521
112,0.504062,0.663613
113,0.507103,0.658586
114,0.510082,0.652539
115,0.513073,0.646515
116,0.516298,0.640287
117,0.518750,0.634375
118,0.522642,0.628733
119,0.525911,0.623472
120,0.530245,0.618415
121,0.533582,0.608944
122,0.535559,0.605043
123,0.539614,0.598674
124,0.542129,0.592681
125,0.544857,0.586256
126,0.545977,0.579409
127,0.551007,0.574578
128,0.553651,0.568005
129,0.556163,0.562359
130,0.563117,0.557433
131,0.566528,0.549712
132,0.568773,0.544836
133,0.572104,0.535207
134,0.556916,0.526627
135,0.556907,0.520439
136,0.556112,0.513932
137,0.555210,0.507515
138,0.553734,0.501285
