index,u,v
0,0.555465,0.212318
110,0.311745,0.370288
111,0.308474,0.364264
112,0.305324,0.357152
113,0.302520,0.349956
114,0.300198,0.342713
115,0.297649,0.334916
116,0.295597,0.327163
117,0.294478,0.320009
118,0.293204,0.312172
119,0.291987,0.304157
120,0.290796,0.296224
121,0.290462,0.288791
122,0.290133,0.281964
123,0.290015,0.273202
124,0.290731,0.265971
125,0.290752,0.257596
126,0.290801,0.249960
127,0.291054,0.242141
128,0.292370,0.234586
129,0.293013,0.228646
130,0.293956,0.221453
131,0.297993,0.205240
132,0.296991,0.203293
133,0.301620,0.191234
134,0.300611,0.186548
135,0.305155,0.174150
136,0.305914,0.165118
137,0.307138,0.155833
138,0.307890,0.146899
139,0.308446,0.138055
140,0.308731,0.130081
141,0.309327,0.126625
221,0.287500,0.282813
222,0.287500,0.282026
223,0.287500,0.280469
229,0.233886,0.127770
230,0.233393,0.134789
231,0.233046,0.143100
232,0.233654,0.148129
240,0.512323,0.212577
241,0.513166,0.220765
243,0.513140,0.240245
244,0.514062,0.247645
251,0.512500,0.324217
252,0.512790,0.327508
253,0.512913,0.332586
254,0.512343,0.338327
255,0.511946,0.342573
256,0.511585,0.346894
257,0.318145,0.384666
258,0.320744,0.390621
259,0.325699,0.392993
260,0.327224,0.396635
261,0.510317,0.387148
262,0.509913,0.391673
269,0.405102,0.452291
270,0.405699,0.453420
271,0.411343,0.454197
272,0.416971,0.455031
273,0.422365,0.457246
274,0.427197,0.464055
275,0.495811,0.495722
276,0.495312,0.495312
284,0.497633,0.486731
285,0.469111,0.485800
286,0.463636,0.484174
287,0.459148,0.482243
288,0.453384,0.479945
289,0.447406,0.476866
290,0.445312,0.476562
305,0.378125,0.390625
315,0.248438,0.351562
317,0.350796,0.305536
326,0.329161,0.230771
327,0.329098,0.231051
329,0.328754,0.213501
330,0.328125,0.202344
331,0.328175,0.198556
332,0.330942,0.190259
333,0.331328,0.184323
334,0.332194,0.179953
335,0.333615,0.177556
381,0.539062,0.562500
384,0.462500,0.481250
391,0.479658,0.392763
392,0.476760,0.387470
393,0.474221,0.380649
394,0.470963,0.374342
395,0.467628,0.367886
396,0.464248,0.361382
397,0.461178,0.354797
398,0.457739,0.348768
399,0.455311,0.341387
400,0.452216,0.334598
401,0.448927,0.327993
402,0.446360,0.320653
403,0.443783,0.312854
404,0.441911,0.305726
405,0.439266,0.298716
406,0.437008,0.291251
407,0.435091,0.283488
408,0.432341,0.276092
409,0.429654,0.268987
410,0.426466,0.262427
