index,u,v
22,0.397267,0.440240
23,0.397483,0.437750
24,0.399117,0.433421
25,0.408662,0.420847
26,0.400000,0.411829
27,0.400907,0.407043
28,0.402298,0.402050
29,0.403571,0.397443
30,0.404714,0.392361
31,0.406956,0.388865
32,0.408806,0.382827
33,0.409967,0.376972
34,0.412304,0.370659
35,0.410989,0.363502
36,0.411757,0.356275
37,0.412326,0.349911
38,0.412764,0.342866
39,0.413298,0.335969
40,0.413448,0.329249
41,0.413847,0.322719
42,0.413634,0.317745
43,0.416487,0.305120
44,0.416145,0.299382
45,0.416406,0.293049
46,0.416840,0.286571
47,0.417568,0.279122
48,0.417940,0.272147
49,0.418490,0.265049
50,0.419250,0.257818
51,0.419816,0.251103
52,0.422048,0.240203
53,0.423249,0.236363
54,0.425883,0.230971
55,0.430815,0.226166
56,0.436895,0.222793
57,0.443827,0.221943
58,0.450762,0.223137
59,0.455354,0.225159
75,0.511710,0.350773
76,0.514853,0.353152
77,0.518739,0.356239
78,0.521096,0.358596
135,0.631072,0.525628
136,0.629514,0.521952
137,0.627465,0.510341
138,0.626667,0.503695
139,0.624880,0.495416
140,0.623207,0.487821
141,0.621552,0.478768
142,0.619622,0.470468
143,0.617894,0.463224
144,0.616338,0.455295
145,0.614377,0.447669
146,0.612047,0.439977
147,0.609970,0.432621
148,0.606988,0.425087
149,0.603949,0.417780
150,0.601016,0.410459
151,0.597658,0.402974
152,0.594425,0.396039
153,0.590011,0.387531
154,0.586488,0.380465
155,0.582636,0.373446
156,0.578697,0.366266
157,0.574465,0.358961
158,0.570060,0.351958
159,0.565509,0.344811
160,0.560956,0.337787
161,0.556410,0.331169
162,0.553884,0.327080
163,0.545408,0.316838
164,0.540105,0.310532
165,0.534816,0.304360
166,0.528643,0.297737
167,0.522666,0.291221
168,0.517012,0.285311
169,0.510962,0.278978
170,0.505429,0.272783
171,0.499159,0.265698
172,0.495921,0.260829
183,0.463807,0.211839
184,0.466377,0.214891
185,0.470313,0.220312
190,0.492188,0.254688
193,0.505167,0.274532
194,0.508516,0.278409
198,0.530179,0.301027
199,0.534725,0.306688
200,0.539506,0.312011
201,0.545312,0.318750
203,0.560045,0.331920
204,0.561347,0.335890
205,0.566475,0.342449
206,0.570997,0.348777
207,0.575457,0.355802
208,0.579656,0.362577
209,0.583618,0.369803
210,0.587790,0.377257
211,0.591087,0.384075
212,0.595207,0.391151
213,0.597346,0.395757
214,0.602084,0.406666
215,0.604508,0.412745
216,0.604679,0.422670
217,0.606856,0.429707
218,0.609395,0.436519
219,0.611233,0.443971
220,0.613264,0.450486
221,0.614887,0.457899
222,0.616475,0.464946
223,0.618056,0.471914
225,0.621175,0.487510
226,0.622602,0.494030
227,0.623400,0.501108
228,0.625161,0.508527
229,0.626563,0.513218
271,0.392610,0.471033
272,0.392982,0.466420
273,0.397366,0.457842
275,0.435938,0.820238
276,0.444534,0.826562
331,0.637594,0.540398
332,0.636811,0.536339
333,0.635881,0.529889
334,0.632098,0.523687
335,0.627625,0.519310
336,0.622148,0.517167
337,0.615468,0.517721
338,0.608421,0.521711
339,0.601991,0.526836
340,0.596654,0.535102
341,0.585852,0.542983
342,0.585288,0.550788
343,0.584114,0.555554
344,0.583077,0.570608
345,0.581370,0.579159
346,0.577951,0.590072
347,0.577314,0.597344
348,0.575519,0.606573
349,0.574904,0.615495
350,0.572575,0.624468
351,0.572130,0.633337
352,0.570403,0.642051
353,0.569552,0.650981
354,0.566770,0.660090
355,0.564570,0.668477
356,0.562508,0.676414
357,0.560679,0.683504
358,0.557390,0.694780
359,0.554771,0.702390
360,0.551876,0.709158
361,0.549736,0.717257
362,0.547063,0.724522
363,0.543551,0.731779
364,0.541051,0.739323
365,0.539973,0.745523
366,0.540757,0.750761
368,0.471875,0.723437
370,0.526563,0.779687
371,0.517188,0.785937
372,0.512854,0.790099
373,0.507785,0.794356
374,0.485054,0.781324
375,0.481283,0.785637
376,0.477025,0.791609
377,0.472425,0.795975
378,0.468528,0.800904
379,0.465475,0.807879
380,0.461649,0.809768
381,0.457447,0.812693
382,0.450562,0.814365
383,0.445739,0.814999
384,0.441208,0.815764
389,0.442188,0.823438
390,0.420278,0.829678
391,0.438403,0.767199
392,0.442510,0.761594
393,0.446977,0.755443
394,0.451373,0.748900
395,0.456086,0.741527
396,0.460808,0.734299
397,0.465470,0.726906
398,0.470296,0.719142
399,0.474593,0.710747
400,0.479074,0.702230
401,0.482626,0.693481
402,0.486812,0.684892
403,0.490672,0.675481
404,0.494120,0.667017
405,0.499027,0.658376
406,0.502951,0.648580
407,0.507084,0.639857
408,0.510117,0.629661
409,0.513721,0.620809
410,0.516159,0.610911
411,0.519819,0.601208
412,0.522550,0.590557
413,0.523981,0.580142
414,0.525485,0.572636
415,0.528390,0.560460
416,0.529968,0.550642
417,0.530821,0.540192
418,0.531332,0.530484
419,0.531253,0.521035
420,0.529390,0.510124
421,0.527199,0.500179
422,0.524517,0.491503
423,0.517202,0.475768
424,0.515031,0.471085
425,0.510935,0.463248
426,0.506644,0.454279
427,0.502337,0.445337
428,0.498089,0.436487
429,0.494156,0.427580
430,0.490362,0.418749
431,0.486813,0.410202
432,0.483231,0.401513
433,0.479742,0.392673
434,0.476672,0.384341
435,0.473720,0.376081
436,0.470926,0.367594
437,0.467685,0.357738
438,0.466088,0.351240
439,0.463903,0.343373
440,0.462374,0.335952
441,0.461141,0.328692
442,0.459973,0.321836
443,0.459463,0.314875
444,0.459059,0.308717
445,0.459082,0.302626
446,0.459310,0.295434
447,0.459475,0.290477
448,0.459766,0.284948
449,0.460250,0.279500
450,0.460972,0.274262
451,0.461649,0.269477
452,0.462683,0.264348
453,0.463238,0.260204
454,0.464242,0.254800
455,0.464623,0.250430
456,0.475138,0.252443
457,0.466269,0.241627
458,0.465989,0.236310
459,0.463233,0.229731
460,0.460021,0.224009
461,0.454651,0.217063
462,0.450761,0.211967
463,0.444538,0.207368
464,0.436387,0.203227
465,0.428455,0.201037
466,0.420249,0.200966
467,0.412172,0.203106
468,0.406393,0.206858
469,0.402924,0.210565
470,0.398394,0.217114
471,0.396003,0.222420
472,0.393163,0.228238
473,0.391613,0.234492
474,0.389433,0.240888
475,0.381749,0.250500
476,0.377942,0.258487
477,0.396053,0.255817
478,0.370061,0.275778
479,0.366693,0.284875
480,0.363303,0.293105
481,0.359724,0.302083
482,0.407193,0.282595
483,0.409337,0.288459
484,0.411156,0.293890
485,0.413258,0.301547
486,0.414465,0.307683
487,0.415237,0.314114
488,0.415853,0.321124
489,0.416145,0.328179
490,0.415948,0.335404
491,0.415677,0.343080
492,0.415112,0.350653
493,0.414667,0.357289
494,0.414026,0.366290
495,0.412906,0.374927
496,0.412130,0.382568
497,0.410705,0.391032
498,0.408486,0.399760
499,0.405805,0.408479
500,0.403015,0.416734
501,0.399296,0.425531
502,0.395530,0.434162
503,0.391192,0.442494
504,0.386474,0.451227
505,0.381620,0.459701
506,0.376696,0.467629
507,0.371184,0.476918
508,0.365465,0.486733
509,0.361509,0.494983
510,0.357892,0.504591
511,0.354945,0.514807
512,0.353192,0.523605
513,0.353336,0.529982
518,0.368750,0.585220
519,0.372265,0.593802
520,0.378905,0.598149
521,0.384354,0.603104
522,0.389099,0.606779
525,0.389551,0.656204
526,0.392149,0.659279
527,0.396862,0.663267
531,0.404704,0.705142
544,0.389845,0.817861
545,0.387318,0.817171
546,0.384882,0.816718
554,0.346875,0.807040
555,0.342466,0.805498
556,0.340092,0.802689
557,0.338549,0.799640
558,0.335297,0.795385
559,0.331512,0.790765
560,0.326179,0.786067
561,0.319129,0.781265
563,0.312884,0.760707
564,0.318287,0.753756
565,0.318060,0.749152
566,0.313696,0.743951
567,0.312439,0.735605
568,0.310713,0.728065
569,0.309083,0.719776
570,0.308070,0.712010
571,0.306882,0.704751
572,0.303839,0.694367
573,0.303710,0.686804
574,0.302628,0.677822
575,0.302104,0.668784
576,0.301316,0.659507
577,0.302314,0.652350
578,0.301222,0.641401
579,0.301094,0.631948
580,0.300995,0.622362
581,0.300986,0.612780
582,0.300739,0.602939
583,0.300898,0.593320
584,0.301177,0.583574
585,0.300296,0.573353
586,0.300016,0.565266
587,0.301869,0.553057
588,0.297773,0.545002
589,0.293927,0.536851
590,0.283785,0.529760
591,0.277325,0.523055
592,0.269036,0.518244
593,0.260390,0.516286
594,0.252181,0.517264
595,0.245764,0.521070
596,0.239573,0.527197
597,0.237193,0.535335
598,0.236614,0.544530
599,0.236822,0.546742
600,0.238505,0.566116
601,0.240537,0.574791
602,0.243247,0.584809
603,0.245505,0.593629
604,0.248439,0.603794
605,0.250956,0.613122
606,0.253642,0.622483
607,0.256717,0.632346
608,0.259815,0.641937
609,0.263248,0.650802
610,0.265588,0.659302
611,0.268237,0.668412
612,0.271347,0.677725
613,0.273476,0.685107
614,0.276260,0.694257
615,0.279139,0.704179
616,0.281355,0.711311
617,0.284058,0.719432
618,0.286232,0.727023
619,0.289269,0.735800
620,0.291462,0.742315
621,0.294156,0.749993
622,0.295922,0.756089
623,0.297490,0.759418
625,0.304688,0.777271
672,0.240387,0.749285
673,0.236629,0.744147
674,0.233450,0.739413
675,0.228921,0.733609
704,0.254688,0.508548
705,0.257812,0.500000
708,0.233309,0.460603
709,0.233561,0.453511
710,0.234772,0.446998
711,0.237212,0.439204
712,0.239999,0.431215
713,0.242943,0.423076
714,0.245927,0.415134
715,0.249017,0.407574
716,0.252347,0.399550
717,0.255471,0.392186
718,0.258897,0.384650
719,0.261921,0.378222
720,0.267689,0.366923
721,0.270967,0.361199
722,0.275142,0.354336
723,0.279743,0.346908
724,0.284377,0.339809
725,0.289403,0.332537
726,0.294428,0.325603
727,0.299751,0.318358
728,0.304395,0.312670
729,0.311272,0.304874
730,0.317455,0.298068
731,0.323018,0.292368
732,0.329137,0.285932
733,0.335408,0.279889
734,0.341657,0.273786
735,0.347769,0.267799
736,0.352259,0.263600
737,0.361339,0.254725
738,0.366321,0.249285
739,0.371575,0.242665
740,0.375834,0.236692
741,0.379964,0.230547
742,0.384310,0.223730
743,0.388036,0.218014
744,0.390467,0.213549
745,0.393749,0.208562
746,0.395293,0.205503
747,0.395319,0.203615
748,0.393454,0.203946
749,0.391130,0.205735
750,0.387690,0.208686
751,0.383586,0.212901
752,0.379020,0.218544
753,0.374128,0.224044
754,0.368766,0.230427
755,0.362960,0.237775
756,0.358820,0.243493
757,0.354191,0.249697
758,0.349108,0.256434
759,0.344392,0.262673
760,0.339436,0.268496
761,0.334934,0.273604
762,0.329129,0.279046
763,0.324697,0.283116
764,0.319582,0.287891
765,0.314720,0.292778
766,0.309773,0.297785
767,0.304641,0.303149
768,0.300032,0.308306
769,0.294864,0.314322
770,0.289000,0.320999
771,0.284293,0.326556
772,0.279047,0.332576
773,0.273783,0.338818
774,0.268545,0.345129
775,0.262918,0.352086
776,0.257796,0.358608
777,0.252588,0.365657
778,0.248605,0.370835
779,0.241351,0.381512
780,0.237951,0.386915
781,0.233250,0.394208
782,0.228909,0.401582
783,0.224657,0.408918
784,0.220381,0.416449
785,0.216255,0.423787
786,0.212301,0.431257
787,0.208659,0.438284
788,0.204715,0.445906
789,0.201166,0.453403
790,0.197920,0.460801
791,0.195455,0.466866
792,0.191123,0.477874
793,0.189049,0.483780
794,0.186787,0.491515
795,0.184618,0.499551
796,0.182440,0.507679
797,0.180301,0.515904
798,0.178469,0.524186
799,0.176915,0.532504
800,0.175721,0.540647
801,0.171464,0.550969
802,0.171401,0.557636
803,0.171666,0.566175
804,0.171776,0.574027
805,0.172534,0.583188
806,0.173354,0.591176
807,0.175035,0.600139
808,0.176478,0.607251
809,0.178160,0.616138
810,0.180189,0.624230
811,0.182394,0.632595
812,0.184866,0.640742
813,0.187455,0.649473
814,0.190389,0.657360
815,0.193785,0.665878
816,0.197853,0.673786
817,0.201828,0.681183
818,0.206006,0.688914
819,0.210166,0.696494
820,0.214372,0.704100
821,0.218083,0.710822
822,0.223438,0.719568
823,0.227091,0.726911
824,0.231523,0.735091
825,0.235960,0.742263
826,0.240367,0.749149
827,0.244975,0.755283
848,0.396765,0.819098
906,0.178174,0.497677
907,0.177473,0.499867
908,0.178185,0.504376
909,0.176931,0.509997
910,0.175593,0.515611
911,0.173232,0.523116
1016,0.346875,0.507019
1017,0.346594,0.502342
1018,0.347173,0.497980
1019,0.348115,0.493282
1020,0.349780,0.487720
1021,0.351345,0.483125
1022,0.353882,0.476636
1023,0.355910,0.471399
1024,0.358071,0.465803
1025,0.359803,0.461608
1026,0.360332,0.459703
1029,0.332813,0.429688
1030,0.334365,0.424259
1031,0.335938,0.418663
1033,0.335938,0.405405
1034,0.336406,0.397214
1035,0.337728,0.391807
1036,0.339539,0.385039
1037,0.341292,0.378820
1038,0.343578,0.372223
1039,0.346211,0.365771
1040,0.348806,0.359778
1041,0.351775,0.353533
1042,0.355192,0.346784
1043,0.358893,0.339637
1044,0.362059,0.334527
1045,0.366256,0.328099
1046,0.370249,0.322374
1047,0.375118,0.316419
1048,0.379524,0.310939
1049,0.384177,0.305241
1050,0.388811,0.299780
1051,0.393888,0.293407
1052,0.397757,0.288363
1053,0.400482,0.282270
1054,0.401885,0.278859
1055,0.406464,0.267397
1056,0.408046,0.260774
1057,0.408969,0.254489
1058,0.410069,0.246165
1059,0.410192,0.239409
1060,0.409192,0.232867
1061,0.406425,0.226976
1062,0.403092,0.223263
1063,0.400857,0.221875
1065,0.382864,0.223380
1069,0.360938,0.251563
1070,0.358708,0.254120
1071,0.353726,0.264561
1072,0.351086,0.269749
1073,0.348684,0.275411
1074,0.345952,0.281604
1075,0.343561,0.289284
1076,0.342185,0.295450
1077,0.340725,0.301505
1078,0.339199,0.307899
1079,0.337501,0.313992
1080,0.335210,0.319711
1081,0.333191,0.325421
1093,0.298438,0.404687
1094,0.296875,0.406250
1095,0.291792,0.416911
1096,0.288512,0.422487
1097,0.284783,0.429341
1098,0.281360,0.435210
1099,0.277454,0.441580
1100,0.273640,0.447905
1101,0.269538,0.453990
1102,0.265440,0.460248
1103,0.261342,0.466291
1104,0.257546,0.472224
1105,0.252061,0.479994
1106,0.249131,0.484706
1107,0.245174,0.491404
1108,0.241646,0.498545
1109,0.239458,0.505609
1110,0.238103,0.511875
1111,0.237500,0.515630
1112,0.170964,0.530792
1113,0.170821,0.542485
1115,0.171875,0.560153
1116,0.179271,0.571217
1117,0.179688,0.577350
1118,0.180299,0.583124
1161,0.400142,0.837890
1219,0.371884,0.523664
1220,0.372155,0.519503
1221,0.373234,0.514991
1232,0.413101,0.464667
1233,0.412916,0.460449
1234,0.413211,0.455914
1235,0.413583,0.451005
1236,0.413472,0.445327
1237,0.413702,0.439587
1238,0.413222,0.433227
1239,0.412932,0.426877
1240,0.412788,0.420388
1241,0.412761,0.414074
1242,0.412502,0.407582
1243,0.412271,0.401928
1244,0.412766,0.398911
1245,0.414169,0.387771
1246,0.413197,0.381625
1247,0.417189,0.376167
1248,0.419692,0.370581
1249,0.423014,0.365201
1250,0.426366,0.359410
1251,0.430080,0.354416
1252,0.434580,0.349862
1253,0.439307,0.346375
1254,0.444178,0.343611
1255,0.451849,0.340470
1256,0.456886,0.338866
1257,0.464849,0.337698
1258,0.471045,0.337183
1259,0.477480,0.337425
1260,0.483623,0.337962
1261,0.492501,0.340453
1262,0.498654,0.343026
1263,0.505109,0.346246
1264,0.511383,0.350297
1265,0.517194,0.354710
1266,0.520410,0.357821
1344,0.426563,0.822620
1349,0.431044,0.790035
