index,x,y,z,xn,yn,zn,error
847,1.962339,-28.622558,-4.174194,0.047002,0.980177,0.192469,15.682669
848,-0.903637,-27.686346,-3.731553,-0.064375,0.980665,0.184801,56.245875
849,4.294134,-28.254314,-1.329720,-0.150166,-0.970018,0.191089,13.320178
850,4.162634,-27.823968,-1.596822,-0.045232,-0.976432,0.211032,31.164547
851,3.497167,-26.961128,-0.240196,0.038852,-0.984198,0.172758,28.037791
852,3.573198,-27.051070,0.012990,0.031181,-0.986377,0.161518,7.744277
853,3.855673,-27.083563,0.764153,-0.218864,-0.967557,0.126221,17.210498
854,5.071678,-27.364719,-1.002819,0.223182,-0.960094,0.168550,51.573508
855,5.708817,-27.218481,-1.102382,0.126635,-0.991949,0.000276,17.774263
856,5.901647,-27.189731,-1.945157,0.429517,-0.902514,-0.031347,28.533922
867,15.407659,-22.701155,-5.149205,0.521952,-0.837230,-0.163133,43.273993
870,23.275425,-18.127038,2.486668,0.882619,-0.458671,-0.102982,51.221983
871,18.532822,-20.288698,-6.211334,0.654663,-0.704864,-0.273099,22.518127
872,18.889045,-19.581883,-6.706850,0.757268,-0.652316,-0.032086,2.074114
873,19.264452,-18.867570,-7.233871,0.758312,-0.637973,-0.133993,26.237471
874,19.537647,-18.277698,-7.698363,0.791170,-0.586770,-0.172484,39.695107
875,20.345524,-17.027862,-7.372492,0.815748,-0.557552,-0.153915,1.041088
876,21.080583,-16.024450,-6.863256,0.828048,-0.518140,-0.214169,51.738690
877,21.024129,-15.190677,-7.567058,0.852632,-0.469159,-0.230017,65.500981
878,21.596506,-14.576021,-7.937787,0.852632,-0.469159,-0.230017,38.208483
879,22.059384,-13.647798,-7.937869,0.860534,-0.451810,-0.235266,20.131608
880,22.392127,-12.792554,-8.187693,0.867196,-0.437126,-0.238521,30.633106
881,22.782499,-11.826560,-8.253767,0.871436,-0.425862,-0.243393,50.119600
882,23.493172,-10.995763,-8.438433,0.878677,-0.412923,-0.239626,46.959071
883,23.519356,-10.060966,-8.506936,0.885902,-0.398527,-0.237388,33.685704
884,23.778164,-9.401806,-8.655109,0.896127,-0.375242,-0.236960,1.360908
885,24.307033,-8.096239,-8.830746,0.907573,-0.341777,-0.243927,35.002789
886,24.607400,-7.339766,-8.835259,0.911382,-0.323902,-0.253910,34.727495
887,24.917329,-6.382393,-8.901842,0.913287,-0.309285,-0.265046,31.876903
888,25.220165,-5.433142,-8.941502,0.915686,-0.293759,-0.274271,24.797880
889,25.492615,-4.538537,-8.953577,0.919146,-0.287327,-0.269469,27.870617
890,25.946557,-3.667974,-9.022517,0.920618,-0.273667,-0.278513,33.772123
891,26.054279,-2.604864,-9.014620,0.927961,-0.257273,-0.269627,26.811150
892,26.327341,-1.650788,-8.893528,0.931705,-0.246054,-0.267176,22.227329
893,26.578999,-0.673064,-8.932909,0.938883,-0.228044,-0.257864,52.454337
894,26.790634,0.222312,-9.009631,0.937199,-0.229760,-0.262428,32.605219
895,27.052371,1.163720,-8.991139,0.934679,-0.238717,-0.263418,27.541196
896,27.300678,2.142273,-8.957114,0.943715,-0.194339,-0.267645,26.212544
897,27.497702,3.139059,-8.979787,0.942955,-0.227510,-0.243054,33.374451
898,27.691463,3.973658,-8.985299,0.952021,-0.207237,-0.225186,21.199045
899,28.000081,5.041462,-8.812043,0.973497,-0.162841,-0.160584,19.182526
900,28.020719,5.987616,-8.849994,-0.972801,0.155353,0.171826,52.839930
901,28.737046,6.934442,-9.290453,0.980990,-0.120899,-0.151793,69.643242
902,28.913860,7.619355,-9.580680,-0.980990,0.120899,0.151793,13.730245
903,28.749168,8.180068,-10.139672,0.986299,-0.095071,-0.134820,49.004346
