index,u,v
685,0.685833,0.644774
686,0.687078,0.636724
687,0.687527,0.630991
688,0.687790,0.621744
689,0.687036,0.615467
690,0.687092,0.609870
691,0.687558,0.601561
692,0.687081,0.595033
693,0.686583,0.587351
694,0.684233,0.579378
695,0.683151,0.572619
696,0.682277,0.565948
697,0.681389,0.559868
698,0.680520,0.550470
699,0.679372,0.544634
700,0.676584,0.537153
701,0.676161,0.530880
702,0.673509,0.523191
703,0.673071,0.515672
704,0.672884,0.509073
705,0.672969,0.502527
706,0.673773,0.495722
707,0.674376,0.489292
708,0.674865,0.483575
709,0.675227,0.477212
710,0.675195,0.470652
711,0.675012,0.463808
712,0.674477,0.457280
713,0.673620,0.450290
714,0.672761,0.443192
715,0.671862,0.436581
716,0.670897,0.429900
717,0.669001,0.422625
718,0.667308,0.415295
719,0.665992,0.409609
720,0.663165,0.400522
721,0.660927,0.393851
722,0.658332,0.387095
723,0.655518,0.379899
724,0.652643,0.373536
725,0.650075,0.366407
726,0.648055,0.361432
729,0.630489,0.336756
730,0.627575,0.332345
731,0.623522,0.326260
732,0.619135,0.320346
733,0.614257,0.314309
734,0.609172,0.308226
735,0.603907,0.302209
736,0.599131,0.296615
737,0.593437,0.290025
738,0.589090,0.284242
739,0.585148,0.277083
740,0.581814,0.271242
741,0.562277,0.266280
742,0.561537,0.258514
743,0.573079,0.247609
744,0.570513,0.240285
745,0.568690,0.233827
746,0.567357,0.227731
747,0.568913,0.221977
748,0.570486,0.217485
749,0.573005,0.214621
750,0.576798,0.213237
751,0.582086,0.213831
763,0.636958,0.292582
764,0.641776,0.298652
765,0.646030,0.305319
766,0.649155,0.311373
767,0.653111,0.318858
768,0.656660,0.325438
769,0.659562,0.331380
770,0.663905,0.339746
771,0.667810,0.346240
772,0.672331,0.354089
773,0.675358,0.360243
774,0.679503,0.367257
775,0.683453,0.374235
776,0.687652,0.380836
777,0.691817,0.388382
778,0.694910,0.394214
779,0.699694,0.402183
780,0.703467,0.409361
781,0.707187,0.416264
782,0.711346,0.423607
783,0.715029,0.430411
784,0.719124,0.437542
785,0.722652,0.444103
786,0.726862,0.451422
787,0.730349,0.458180
788,0.734383,0.465224
789,0.738281,0.472597
790,0.741826,0.479779
791,0.744834,0.485299
792,0.748897,0.494716
793,0.751622,0.500945
798,0.771116,0.543771
799,0.769707,0.551179
800,0.768750,0.557813
801,0.765903,0.568926
802,0.764232,0.575258
803,0.755405,0.583642
804,0.755107,0.589337
805,0.754368,0.596907
806,0.750420,0.604930
807,0.748193,0.611882
808,0.745542,0.617891
809,0.742335,0.624782
810,0.739181,0.632195
811,0.736540,0.639406
812,0.733156,0.646606
813,0.729260,0.653599
814,0.725754,0.658945
815,0.721925,0.666866
816,0.717146,0.674494
817,0.712914,0.680751
818,0.709375,0.685937
819,0.703451,0.693108
820,0.698857,0.699328
821,0.693858,0.704789
822,0.689006,0.710140
823,0.682918,0.717211
824,0.679241,0.721599
825,0.677483,0.724498
848,0.529687,0.805388
866,0.649089,0.810282
867,0.653606,0.807293
868,0.660470,0.801938
869,0.667124,0.796121
870,0.672604,0.789080
871,0.678056,0.782271
872,0.683524,0.775489
873,0.689290,0.768653
874,0.693915,0.763020
875,0.699391,0.754880
876,0.704287,0.748079
877,0.708644,0.741274
878,0.713010,0.734035
879,0.717406,0.726816
880,0.721691,0.719224
881,0.725628,0.711837
882,0.732872,0.706279
883,0.733812,0.696924
884,0.737002,0.691191
885,0.742264,0.680494
886,0.745329,0.673503
887,0.748885,0.665399
888,0.752108,0.657338
889,0.755031,0.649554
890,0.759917,0.642674
891,0.761175,0.632801
892,0.763911,0.624643
893,0.766693,0.616025
894,0.769640,0.608237
895,0.772171,0.599454
896,0.774644,0.590697
897,0.777229,0.581732
898,0.779283,0.573924
899,0.782007,0.563998
900,0.783151,0.554832
901,0.785347,0.547096
902,0.788865,0.540700
903,0.796104,0.534776
904,0.800515,0.527759
905,0.803115,0.523541
906,0.804924,0.521162
922,0.971278,0.641408
923,0.969515,0.647683
924,0.968059,0.654041
929,0.968400,0.692258
930,0.971362,0.701179
932,0.971925,0.718605
933,0.972817,0.726498
934,0.973437,0.733594
935,0.976562,0.740625
988,0.665097,0.782835
989,0.670631,0.776901
990,0.674819,0.769274
991,0.680542,0.764818
992,0.685394,0.758743
993,0.687518,0.755637
1020,0.654052,0.494184
1021,0.653995,0.488633
1022,0.655057,0.476274
1023,0.655747,0.469160
1024,0.656028,0.460289
1025,0.656555,0.450820
1026,0.656465,0.442667
1027,0.656253,0.433270
1028,0.655984,0.424835
1029,0.655603,0.416204
1030,0.654659,0.407781
1031,0.653882,0.399222
1032,0.653002,0.391251
1033,0.651441,0.383211
1034,0.648909,0.373268
1035,0.647124,0.367370
1036,0.644601,0.359786
1037,0.642241,0.351854
1038,0.638940,0.344200
1039,0.635223,0.336830
1040,0.631359,0.329189
1041,0.627481,0.321645
