index,u,v
20,0.321875,0.434375
21,0.323434,0.432824
22,0.316300,0.434807
23,0.317308,0.432075
24,0.323276,0.423380
25,0.324655,0.419297
26,0.327973,0.413350
27,0.330939,0.407152
28,0.333461,0.400506
29,0.336120,0.394796
30,0.339274,0.389522
31,0.342380,0.380325
32,0.345196,0.374175
33,0.348355,0.370719
34,0.350807,0.363919
35,0.353000,0.357336
36,0.355216,0.350266
37,0.357776,0.343006
38,0.360111,0.336465
39,0.363175,0.329101
40,0.365308,0.322991
41,0.367882,0.316099
42,0.370309,0.309363
43,0.372766,0.302289
44,0.375093,0.297084
53,0.406871,0.231479
54,0.410651,0.227213
55,0.416811,0.224200
56,0.424327,0.222382
57,0.430684,0.222327
58,0.432812,0.221875
59,0.448768,0.231070
60,0.450073,0.234628
61,0.452844,0.239851
62,0.456170,0.248672
63,0.457314,0.252054
64,0.459918,0.262001
66,0.464062,0.277357
67,0.465140,0.283941
68,0.466971,0.291914
69,0.469534,0.301970
71,0.469634,0.305618
72,0.472266,0.320282
73,0.473407,0.327343
74,0.474493,0.334225
75,0.475892,0.340905
76,0.477367,0.348161
77,0.478701,0.354972
78,0.479294,0.362021
79,0.480229,0.369022
80,0.482090,0.375418
81,0.484594,0.381750
82,0.486601,0.388545
83,0.488792,0.394901
84,0.490761,0.401330
86,0.492468,0.407022
87,0.499335,0.415812
88,0.500298,0.421453
89,0.502181,0.428134
90,0.503395,0.433848
93,0.501250,0.443118
110,0.577607,0.695599
111,0.582203,0.690808
112,0.587241,0.684812
113,0.591945,0.678692
114,0.596167,0.672927
115,0.600395,0.666662
116,0.605053,0.659885
117,0.608378,0.654283
118,0.611404,0.647329
119,0.615581,0.641956
121,0.624013,0.627795
122,0.625578,0.621927
123,0.628257,0.613894
124,0.633812,0.608602
125,0.638255,0.603057
126,0.640285,0.593828
127,0.641462,0.587982
128,0.642852,0.580701
129,0.640661,0.572053
130,0.641445,0.566120
131,0.642819,0.556819
132,0.642622,0.549901
133,0.643395,0.543545
134,0.642597,0.535368
135,0.642764,0.529162
136,0.639579,0.517003
137,0.637809,0.509585
138,0.636592,0.503181
139,0.634764,0.496739
140,0.669555,0.484965
141,0.627131,0.477985
142,0.625114,0.473480
143,0.621938,0.466955
144,0.619083,0.460445
145,0.615802,0.453699
146,0.612536,0.446303
147,0.609251,0.439850
148,0.605947,0.433282
149,0.602668,0.427162
150,0.597479,0.415419
151,0.595518,0.412103
152,0.592293,0.405827
153,0.588050,0.397724
154,0.584851,0.391701
155,0.581350,0.384970
156,0.579688,0.381250
157,0.573673,0.370591
158,0.570480,0.364400
159,0.465984,0.386305
160,0.464936,0.378647
161,0.464062,0.371111
163,0.461535,0.356552
164,0.460384,0.349438
165,0.459375,0.342952
166,0.458604,0.335163
167,0.457813,0.328125
168,0.456250,0.321077
169,0.455753,0.313825
171,0.453897,0.299210
172,0.453125,0.292187
181,0.472002,0.217246
182,0.468341,0.217410
183,0.465900,0.219253
184,0.464117,0.222648
185,0.462724,0.227909
186,0.464014,0.233156
187,0.465874,0.240895
188,0.467972,0.248284
189,0.470912,0.255165
190,0.474756,0.261810
191,0.478822,0.268393
192,0.483746,0.274760
193,0.488760,0.280628
194,0.493577,0.285961
195,0.499915,0.293438
196,0.504530,0.298833
197,0.509491,0.304529
198,0.514828,0.310379
199,0.519518,0.316026
200,0.524748,0.322208
201,0.529380,0.328058
202,0.533534,0.333737
203,0.535801,0.336636
204,0.542668,0.347533
205,0.546100,0.353623
206,0.549178,0.359620
207,0.552506,0.366316
208,0.555588,0.373207
209,0.558372,0.379953
210,0.561015,0.386997
211,0.562959,0.393770
212,0.564863,0.400168
213,0.566609,0.406749
214,0.568020,0.414062
215,0.568874,0.420800
216,0.569685,0.427734
217,0.570210,0.434445
218,0.570560,0.440766
219,0.570707,0.447513
220,0.570683,0.453870
221,0.570488,0.460593
222,0.570136,0.467079
223,0.569353,0.473184
224,0.568984,0.479216
225,0.568209,0.486162
226,0.567760,0.492792
227,0.567876,0.500427
228,0.568245,0.507378
229,0.568744,0.514963
230,0.569390,0.521973
231,0.570644,0.529069
232,0.571549,0.535880
233,0.571950,0.542187
234,0.571859,0.548162
235,0.572104,0.555422
236,0.574319,0.563914
237,0.575788,0.570773
238,0.576222,0.577361
239,0.576686,0.584284
240,0.576091,0.591391
241,0.575501,0.597299
242,0.575872,0.603971
243,0.576119,0.610278
244,0.577009,0.619053
245,0.576621,0.625405
246,0.575964,0.632166
247,0.575283,0.639792
248,0.575001,0.646005
249,0.574177,0.652366
250,0.572824,0.659125
251,0.571887,0.665982
252,0.570077,0.673585
253,0.569116,0.679779
254,0.567608,0.686512
255,0.566415,0.692984
256,0.565988,0.696366
257,0.566320,0.709457
261,0.564849,0.724224
334,0.684444,0.520063
335,0.684003,0.517924
336,0.683903,0.515372
337,0.681449,0.516589
338,0.679081,0.520029
339,0.676090,0.524956
340,0.670236,0.532582
341,0.667927,0.539814
342,0.666855,0.546708
343,0.664292,0.555511
344,0.662584,0.565004
345,0.661010,0.572729
346,0.658434,0.580658
347,0.656007,0.588810
348,0.653719,0.596882
349,0.651083,0.604959
350,0.648290,0.613000
351,0.645479,0.620846
352,0.642394,0.628565
353,0.639610,0.636349
354,0.636393,0.644254
355,0.633247,0.651745
356,0.630226,0.659145
357,0.627252,0.666238
358,0.624291,0.675951
359,0.619845,0.682424
360,0.615946,0.689618
361,0.612268,0.697073
362,0.608445,0.704027
363,0.604059,0.711265
364,0.599694,0.718507
365,0.595200,0.725280
366,0.590503,0.732072
367,0.585773,0.738528
368,0.580936,0.744620
369,0.575206,0.751255
370,0.569212,0.757283
371,0.562500,0.762500
372,0.557542,0.768078
373,0.554768,0.774182
374,0.550531,0.781506
390,0.444556,0.825848
391,0.557876,0.757384
392,0.561289,0.749061
393,0.564482,0.742218
394,0.569447,0.735483
395,0.575250,0.728187
396,0.580763,0.721024
397,0.586165,0.713547
398,0.591607,0.705649
399,0.596172,0.697476
400,0.600744,0.689118
401,0.605030,0.681171
402,0.609310,0.672555
403,0.613552,0.663851
