index,u,v
0,0.241486,0.629448
16,0.257269,0.454751
17,0.258942,0.452337
18,0.262884,0.445958
27,0.518234,0.447918
28,0.517705,0.441660
58,0.441646,0.207857
59,0.431082,0.214137
60,0.426164,0.218912
61,0.421297,0.225145
62,0.416307,0.232464
63,0.414051,0.237447
64,0.407835,0.245616
65,0.402436,0.253045
66,0.398845,0.259501
67,0.394780,0.265772
68,0.391027,0.271958
69,0.384497,0.283256
70,0.382026,0.287725
71,0.378307,0.294205
72,0.374453,0.301420
73,0.370750,0.308400
74,0.366724,0.315717
75,0.363347,0.322729
76,0.360401,0.329876
77,0.357428,0.337038
78,0.352738,0.344424
79,0.348877,0.351654
80,0.348912,0.357900
81,0.346902,0.363986
82,0.345002,0.370775
83,0.342104,0.377408
84,0.339620,0.383924
85,0.336894,0.390060
86,0.334192,0.396449
87,0.331138,0.403501
88,0.328665,0.409534
89,0.325529,0.416403
90,0.322848,0.422699
91,0.320536,0.427862
92,0.319987,0.430000
110,0.392957,0.692946
111,0.391586,0.689671
117,0.417187,0.631250
135,0.454688,0.513292
136,0.455466,0.510938
137,0.454660,0.506391
140,0.453756,0.483101
141,0.450906,0.475403
142,0.450000,0.471811
143,0.447688,0.465165
144,0.445950,0.458983
145,0.444031,0.452545
146,0.442394,0.446221
147,0.440103,0.439612
148,0.438412,0.433494
149,0.436658,0.427137
150,0.436034,0.420435
151,0.435381,0.414153
152,0.435198,0.408505
153,0.434971,0.399847
154,0.435230,0.394190
155,0.435602,0.387549
156,0.436227,0.380494
157,0.437305,0.373903
158,0.438084,0.367658
159,0.439422,0.361200
160,0.441610,0.354239
161,0.442772,0.348532
162,0.444860,0.341870
163,0.447483,0.334859
164,0.449648,0.329226
165,0.452439,0.323156
166,0.455596,0.316724
167,0.458793,0.310586
168,0.462391,0.304781
169,0.465831,0.299020
170,0.470116,0.292423
171,0.474036,0.286191
172,0.477046,0.280688
173,0.480008,0.274188
174,0.481652,0.266710
175,0.483127,0.259638
176,0.483621,0.253043
177,0.482947,0.245458
178,0.480853,0.233957
179,0.479078,0.228706
180,0.475578,0.222946
181,0.469972,0.218035
182,0.463110,0.214396
183,0.455666,0.213221
184,0.448332,0.214008
185,0.440778,0.216189
186,0.432812,0.223438
188,0.423438,0.239063
189,0.420926,0.243856
190,0.418664,0.250386
191,0.417022,0.256727
192,0.416716,0.263596
193,0.416799,0.270807
194,0.416129,0.278249
195,0.415802,0.287273
196,0.415258,0.291561
197,0.414893,0.298264
198,0.414840,0.304888
199,0.414227,0.311188
200,0.413904,0.317938
201,0.412539,0.324202
202,0.410860,0.330520
203,0.410175,0.334440
204,0.407746,0.344647
205,0.406309,0.350454
206,0.404692,0.356798
207,0.402557,0.363444
208,0.400689,0.369785
209,0.398604,0.376145
210,0.396240,0.382878
211,0.393885,0.389573
212,0.391322,0.395666
213,0.388595,0.402409
214,0.385835,0.408980
215,0.382712,0.415224
216,0.379597,0.421644
217,0.376209,0.428226
218,0.372684,0.434405
219,0.369627,0.440857
220,0.365976,0.446802
221,0.362050,0.453096
222,0.358508,0.459223
223,0.354705,0.465305
224,0.351836,0.469965
225,0.347683,0.479396
226,0.345796,0.485629
227,0.343112,0.492540
228,0.341578,0.499141
229,0.340445,0.505698
230,0.339841,0.512691
231,0.320796,0.521880
232,0.322474,0.529710
233,0.324084,0.537403
234,0.327740,0.542948
235,0.330349,0.551285
236,0.332355,0.557694
237,0.335260,0.564818
238,0.340990,0.571359
239,0.343195,0.577528
240,0.345136,0.584840
241,0.347979,0.591367
242,0.350397,0.598169
243,0.354069,0.604691
244,0.356480,0.611030
245,0.359357,0.617932
246,0.362624,0.622967
247,0.366084,0.631063
248,0.368835,0.637419
249,0.371729,0.644110
250,0.375220,0.650284
251,0.378323,0.656579
252,0.381346,0.663016
253,0.384239,0.668315
254,0.387692,0.676418
255,0.390402,0.682823
256,0.393700,0.689192
257,0.396182,0.695083
258,0.397582,0.699307
259,0.396875,0.708548
346,0.540625,0.557813
397,0.641896,0.694967
398,0.644562,0.688239
399,0.646875,0.682040
403,0.646875,0.652344
404,0.648759,0.645511
405,0.648438,0.637484
406,0.650773,0.632037
407,0.657013,0.624016
408,0.658522,0.620075
409,0.662669,0.611690
410,0.664857,0.606740
412,0.670946,0.591558
413,0.672917,0.588242
414,0.675329,0.582821
415,0.669138,0.566805
416,0.672643,0.560951
417,0.675324,0.554994
418,0.676789,0.546201
419,0.678125,0.538284
420,0.569999,0.505838
421,0.569884,0.500582
422,0.571253,0.494136
423,0.572722,0.487854
424,0.573851,0.481625
425,0.574957,0.474798
426,0.575696,0.468639
427,0.575895,0.462185
428,0.576824,0.456222
429,0.577217,0.447703
430,0.577791,0.442562
431,0.577885,0.436259
432,0.578879,0.429206
433,0.579304,0.422539
434,0.579160,0.415014
435,0.578398,0.408876
436,0.577645,0.401222
437,0.576300,0.394298
438,0.575014,0.387918
439,0.573108,0.381076
440,0.570956,0.374565
441,0.568693,0.367860
442,0.565694,0.360764
443,0.562745,0.354261
444,0.559642,0.348329
445,0.555755,0.341293
446,0.551504,0.334233
447,0.547758,0.328241
448,0.543537,0.321983
449,0.538925,0.315622
450,0.534324,0.309315
451,0.529677,0.303392
452,0.524999,0.297612
453,0.519676,0.291245
454,0.514502,0.284672
455,0.511697,0.280030
456,0.510938,0.278125
464,0.499940,0.212553
465,0.501945,0.211693
466,0.506039,0.211804
468,0.519616,0.220312
472,0.542958,0.250771
473,0.545545,0.255477
474,0.549222,0.261701
475,0.554184,0.269181
476,0.557388,0.276458
477,0.560286,0.283342
478,0.563407,0.291441
479,0.565592,0.297743
480,0.568060,0.304061
481,0.571179,0.310167
482,0.572885,0.313205
483,0.575784,0.328909
484,0.577489,0.332635
485,0.580981,0.339431
486,0.583209,0.345850
487,0.586072,0.352385
488,0.589089,0.359351
489,0.592177,0.366188
490,0.595124,0.373361
491,0.598251,0.380350
492,0.601101,0.387100
493,0.603904,0.393533
494,0.607131,0.400789
495,0.610399,0.408616
496,0.612562,0.414519
497,0.614831,0.420659
498,0.623437,0.435176
499,0.623230,0.436859
500,0.626190,0.442839
501,0.629608,0.449673
502,0.632930,0.456381
503,0.636571,0.463467
504,0.640063,0.470012
505,0.643778,0.476952
506,0.647371,0.483446
507,0.651084,0.489918
508,0.654821,0.497225
509,0.657745,0.503920
510,0.660631,0.511376
511,0.662538,0.518774
512,0.663114,0.525464
513,0.665289,0.534253
514,0.682025,0.543996
515,0.681263,0.553782
516,0.664770,0.553927
517,0.672689,0.567257
518,0.669970,0.573739
519,0.664016,0.579857
520,0.660713,0.585821
521,0.657927,0.593189
522,0.655369,0.599306
523,0.653110,0.606286
524,0.650458,0.614703
525,0.649469,0.621011
526,0.648518,0.629308
527,0.647918,0.636740
528,0.647626,0.644540
532,0.647363,0.678658
533,0.646071,0.687500
534,0.643204,0.694385
535,0.639833,0.703125
536,0.637500,0.708621
594,0.712500,0.525781
595,0.710789,0.530377
596,0.711779,0.536214
597,0.710202,0.542604
598,0.707456,0.547868
619,0.656769,0.719129
620,0.650640,0.725482
621,0.644937,0.731248
622,0.640813,0.737073
623,0.635878,0.743961
624,0.630731,0.750916
625,0.625590,0.757509
626,0.620207,0.764272
627,0.614198,0.770822
628,0.608525,0.777248
629,0.601541,0.783660
630,0.595579,0.788871
673,0.614562,0.764085
674,0.617959,0.758610
675,0.621939,0.751925
676,0.626865,0.742890
677,0.630655,0.735552
678,0.635830,0.728818
679,0.641231,0.721351
680,0.646330,0.714064
681,0.651748,0.705717
682,0.656596,0.698627
683,0.661852,0.690626
684,0.666741,0.683052
685,0.670857,0.674857
686,0.674736,0.666337
687,0.678296,0.658064
688,0.681938,0.649505
689,0.685097,0.641539
690,0.688031,0.632647
691,0.690730,0.623923
692,0.691418,0.614843
693,0.695129,0.606729
694,0.694809,0.597627
695,0.698148,0.590015
696,0.696347,0.579774
697,0.696490,0.572510
698,0.696556,0.561763
699,0.696262,0.553149
700,0.695351,0.544789
701,0.694166,0.535879
702,0.692933,0.527446
703,0.690816,0.518558
704,0.688379,0.509909
705,0.685965,0.502510
706,0.682498,0.493660
707,0.678810,0.485778
708,0.675254,0.478613
709,0.671959,0.471251
710,0.668186,0.463196
711,0.664279,0.454990
712,0.660578,0.447346
713,0.656408,0.438955
714,0.652539,0.430836
715,0.648493,0.422802
716,0.644839,0.414472
717,0.640671,0.406418
718,0.636916,0.398386
719,0.633499,0.391462
720,0.628965,0.381544
721,0.624748,0.373913
722,0.621156,0.366591
723,0.616952,0.358721
724,0.613016,0.351358
725,0.609089,0.343797
726,0.605180,0.336762
727,0.601290,0.329727
728,0.597570,0.323396
729,0.593546,0.316500
730,0.588914,0.309441
731,0.585394,0.304067
732,0.581691,0.298046
733,0.577720,0.292589
734,0.573999,0.287036
735,0.570425,0.281491
736,0.566723,0.276234
737,0.562146,0.269667
738,0.559041,0.265129
739,0.554999,0.258684
740,0.550804,0.252103
741,0.546460,0.245576
742,0.541379,0.238997
743,0.536951,0.232854
744,0.534499,0.229421
745,0.525229,0.218937
746,0.519782,0.213902
747,0.514329,0.207987
748,0.509119,0.203038
749,0.504440,0.199861
750,0.500489,0.198063
751,0.497634,0.198248
752,0.495961,0.200463
753,0.495373,0.204191
754,0.496400,0.209719
755,0.497743,0.215303
756,0.499092,0.221259
757,0.501036,0.227686
758,0.503894,0.234583
759,0.507510,0.241567
760,0.512145,0.248268
761,0.517070,0.254739
762,0.524220,0.261805
763,0.530102,0.267822
764,0.536506,0.273811
765,0.542358,0.280496
766,0.548324,0.286758
767,0.554470,0.293781
768,0.559480,0.300114
769,0.563475,0.304594
770,0.570851,0.315160
771,0.575109,0.321249
772,0.580111,0.328395
773,0.584777,0.335437
774,0.589202,0.342490
775,0.593662,0.349969
776,0.597831,0.357612
777,0.601549,0.364883
778,0.604285,0.370659
779,0.608177,0.380557
780,0.610350,0.387905
781,0.612349,0.395492
782,0.614495,0.403679
783,0.616103,0.411480
784,0.617551,0.419659
785,0.618647,0.427474
786,0.619984,0.436112
787,0.621099,0.443879
788,0.621903,0.452341
789,0.622590,0.459890
790,0.623723,0.466651
792,0.568750,0.508602
793,0.570312,0.514148
794,0.572950,0.525283
867,0.484490,0.821396
868,0.484779,0.819681
869,0.486420,0.816292
870,0.488701,0.812566
871,0.491074,0.807879
872,0.495613,0.802785
873,0.500488,0.797646
874,0.504912,0.793154
875,0.495860,0.765003
876,0.502504,0.769215
877,0.503497,0.766073
878,0.505814,0.762282
879,0.505427,0.753448
880,0.507792,0.745878
881,0.508486,0.737714
882,0.509695,0.729013
883,0.510777,0.721145
884,0.511951,0.713867
885,0.513502,0.701831
886,0.513467,0.694938
887,0.514102,0.685419
888,0.514417,0.675638
889,0.514486,0.666742
890,0.514848,0.657217
891,0.514930,0.647010
892,0.510470,0.639580
893,0.513918,0.627326
894,0.514509,0.617310
895,0.514241,0.607326
896,0.514227,0.596809
897,0.514311,0.586410
898,0.514546,0.577100
899,0.513075,0.572339
900,0.514046,0.555690
901,0.518343,0.547263
902,0.520677,0.537603
903,0.531466,0.532027
904,0.538089,0.524454
905,0.547121,0.519700
906,0.557386,0.517767
907,0.566706,0.519729
908,0.573413,0.524712
909,0.578910,0.530497
910,0.586409,0.537229
911,0.589151,0.546555
912,0.588398,0.554249
913,0.586554,0.573439
914,0.585014,0.578949
915,0.582528,0.587533
916,0.579814,0.597913
917,0.577532,0.607215
918,0.574960,0.617432
919,0.572389,0.627652
920,0.569601,0.637385
921,0.566527,0.646853
922,0.563615,0.656817
923,0.561671,0.667188
924,0.557901,0.675895
925,0.554957,0.684760
926,0.551531,0.693935
927,0.549193,0.701044
928,0.545678,0.712185
