index,u,v
429,0.315576,0.411490
430,0.318877,0.403577
431,0.322013,0.395350
432,0.325401,0.387249
433,0.328930,0.379324
434,0.332484,0.371565
435,0.336257,0.364344
436,0.340548,0.356049
437,0.345612,0.347314
438,0.349547,0.341150
439,0.354518,0.333618
440,0.359593,0.326386
441,0.365205,0.318844
442,0.370670,0.311894
443,0.376457,0.304789
444,0.381562,0.298801
445,0.388546,0.290914
446,0.395229,0.283486
447,0.400800,0.277637
448,0.407462,0.270853
449,0.414203,0.264439
450,0.420629,0.258160
451,0.427632,0.251791
452,0.434121,0.245840
453,0.438300,0.242137
454,0.446697,0.232823
455,0.448437,0.231250
467,0.495809,0.191114
476,0.435363,0.251075
477,0.428966,0.258489
478,0.425979,0.261097
479,0.420804,0.266063
480,0.414879,0.271712
481,0.409220,0.277116
482,0.403576,0.282827
483,0.397901,0.288840
484,0.393028,0.294244
485,0.384111,0.304419
486,0.381155,0.307935
487,0.376088,0.314191
488,0.370711,0.321124
489,0.365407,0.328090
490,0.360005,0.335546
491,0.355089,0.342467
492,0.349940,0.349836
493,0.345679,0.357039
494,0.339133,0.367474
495,0.336785,0.373327
496,0.333324,0.379913
497,0.329497,0.388251
498,0.325462,0.396825
499,0.321956,0.403955
500,0.319481,0.411003
502,0.308561,0.426586
503,0.305973,0.433183
508,0.272614,0.479528
509,0.271804,0.485292
510,0.270959,0.490928
511,0.269397,0.498494
573,0.245332,0.679703
659,0.508936,0.762573
660,0.507450,0.762485
661,0.502555,0.759787
662,0.497592,0.755593
663,0.492067,0.749225
664,0.486563,0.744265
665,0.481082,0.739197
666,0.476404,0.734743
667,0.472334,0.729709
668,0.470313,0.726562
703,0.371165,0.486721
704,0.371822,0.485320
705,0.374625,0.479148
706,0.378551,0.472617
707,0.383484,0.465625
708,0.386714,0.460887
709,0.391903,0.453479
710,0.395691,0.447177
711,0.399281,0.440885
712,0.403000,0.434525
713,0.406608,0.427758
714,0.410016,0.421235
715,0.413138,0.414795
716,0.416546,0.407711
717,0.419426,0.401348
718,0.422850,0.393231
719,0.424615,0.388708
720,0.427932,0.379531
721,0.430285,0.373468
722,0.431981,0.369574
723,0.435129,0.358299
724,0.436796,0.352102
725,0.438863,0.344961
726,0.440416,0.338210
727,0.441959,0.330990
728,0.443234,0.325030
729,0.445387,0.313894
730,0.446291,0.309548
731,0.447483,0.302630
732,0.448256,0.295924
733,0.449019,0.289013
734,0.449942,0.281956
735,0.450675,0.274956
736,0.451296,0.268859
737,0.453867,0.260371
738,0.455555,0.256566
746,0.493629,0.195363
747,0.497844,0.192787
748,0.504437,0.191101
749,0.511916,0.191676
750,0.518938,0.194416
751,0.524324,0.199097
752,0.528479,0.205080
753,0.530552,0.211841
754,0.532015,0.219106
755,0.532816,0.228886
756,0.533026,0.235708
757,0.532810,0.243204
758,0.531833,0.251148
759,0.530014,0.258746
760,0.527561,0.266267
761,0.524017,0.272044
762,0.518643,0.278987
763,0.513975,0.284891
764,0.509427,0.290699
765,0.504955,0.297318
766,0.500976,0.303334
767,0.496738,0.309889
768,0.493596,0.315967
769,0.490491,0.322061
770,0.486562,0.330531
771,0.484290,0.335841
772,0.481868,0.342241
773,0.479259,0.349259
774,0.477257,0.355901
775,0.475295,0.362055
776,0.473176,0.372070
777,0.472578,0.376122
778,0.471841,0.381570
779,0.470919,0.391230
780,0.472118,0.396216
781,0.472683,0.402035
782,0.473580,0.410717
783,0.474200,0.416419
784,0.474692,0.422917
785,0.475897,0.429320
786,0.477096,0.435830
787,0.477818,0.441874
788,0.479238,0.448245
789,0.480765,0.454669
790,0.482276,0.460794
791,0.483631,0.466410
792,0.485350,0.474758
793,0.496776,0.482476
794,0.495438,0.488844
795,0.490604,0.494668
796,0.489777,0.500941
797,0.486989,0.507301
798,0.486936,0.514153
799,0.487732,0.519565
800,0.484892,0.529380
801,0.482275,0.536288
802,0.480081,0.541788
803,0.478435,0.548600
804,0.475464,0.554932
805,0.473461,0.561408
806,0.472219,0.568261
807,0.468695,0.576208
808,0.465938,0.581935
809,0.463958,0.587979
810,0.462401,0.593635
811,0.461130,0.600023
812,0.458914,0.610745
813,0.458215,0.616331
814,0.457021,0.622226
815,0.455573,0.628191
816,0.454836,0.635126
817,0.454091,0.641015
818,0.452666,0.650020
819,0.451936,0.655460
820,0.451229,0.662191
821,0.450174,0.668994
822,0.448437,0.675000
823,0.452002,0.680692
900,0.577320,0.521757
901,0.577298,0.515269
902,0.575836,0.510364
903,0.573669,0.506145
904,0.573438,0.503966
910,0.531250,0.510935
911,0.530211,0.513307
912,0.531250,0.515625
915,0.528125,0.543750
916,0.528125,0.543750
986,0.653125,0.767188
987,0.659299,0.763337
988,0.666756,0.762836
989,0.672864,0.758561
990,0.679921,0.753530
991,0.687717,0.747771
1009,0.726562,0.575781
1010,0.728125,0.570301
1011,0.702853,0.552502
1012,0.704752,0.546654
1013,0.705512,0.540670
1014,0.735031,0.534970
1015,0.738126,0.537388
